index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
0,1.3,-0.1,3.4,-0.0,0.7071067811865475,-0.0,0.7071067811865476,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,3.4,,,0.0
8,1.3,-0.1,3.393871523275145,-0.0,0.7071067811865475,-0.0,0.7071067811865476,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,3.393871523275145,,,0.0
16,1.3,-0.1,3.3768630882347153,-0.0,0.7071067811865475,-0.0,0.7071067811865476,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,3.3768630882347153,,,0.0
24,1.3,-0.1,3.349003375198647,-0.0,0.7071067811865475,-0.0,0.7071067811865476,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,3.349003375198647,,,0.0
32,1.3,-0.1,3.3103303833870688,-0.0,0.7071067811865475,-0.0,0.7071067811865476,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,3.3103303833870688,,,0.0
40,1.3,-0.1,3.2608913012281473,-0.0,0.7071067811865475,-0.0,0.7071067811865476,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,3.2608913012281473,,,0.0
48,1.3,-0.1,3.2007423458539797,-0.0,0.7071067811865475,-0.0,0.7071067811865476,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,3.2007423458539797,,,0.0
56,1.3,-0.1,3.1299485729396967,-0.0,0.7071067811865475,-0.0,0.7071067811865476,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,3.1299485729396967,,,0.0
64,1.3,-0.1,3.0485836582429435,-0.0,0.7071067811865475,-0.0,0.7071067811865476,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,3.0485836582429435,,,0.0
72,1.3,-0.1,2.9567296523863758,-0.0,0.7071067811865475,-0.0,0.7071067811865476,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,2.9567296523863758,,,0.0
80,1.3,-0.1,2.8544767105928304,-0.0,0.7071067811865475,-0.0,0.7071067811865476,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,2.8544767105928304,,,0.0
