index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obj_joint_10_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
50,6.55881020912988e-32,8.933556633253307e-34,2.184039121832183,1.5350092374512116e-17,0.7071067811865475,1.535009237451212e-17,0.7071067811865476,1.1892184102755161e-17,-2.524625142669796e-17,7.274251526064236e-19,1.2582742303329939e-33,-7.71575927765562e-18,-2.3745242221750788e-17,-2.1281502264117306e-17,-1.2982782735628301e-17,5.3593240604565475e-18,1.929242422041558e-20,4.751207729021482e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,12.855254271104226,12.855254271104226,1.0377237791159767e-33,0.0
55,7.813273429551337e-32,1.3728142005301753e-33,2.139377496359163,1.8887352296218406e-17,0.7071067811865475,1.8887352296218412e-17,0.7071067811865476,1.3484481459985063e-17,-3.096459454328629e-17,-1.1626070507934201e-18,1.6434602192104412e-33,-1.0323833717508536e-17,-2.6027571434334198e-17,-2.4934812938755245e-17,-1.4554934841471097e-17,6.643899475330228e-18,2.2366939889493385e-20,5.879271389753259e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,12.592375943570037,12.592375943570037,1.4191518925741682e-33,0.0
60,-0.0019373307939290912,-0.0006075564380438,2.0886642934934576,-0.0002636720531642318,0.7045366088333668,-0.0008076631140462407,0.7096671367415305,0.004222917343270377,-1.6928820299317003e-05,0.0023270625752048217,0.0042580192673300045,0.000852361888384876,0.0049434030921292615,-0.0045919497412993246,-0.003685452444056742,0.0003545823889187595,-0.02635903321018113,0.004049469513395257,-0.5,0.5,0,0.0,0.0,0.0,1.0,10.213453135398586,10.21304686832527,0.00040626707331643526,0.0
65,-0.0125960080124177,-2.7479234924924795e-05,2.0087784692778734,0.020463420012460095,0.6995956976555939,0.01578623444166974,0.7140713571242927,0.005801866312978834,5.013550252124855e-06,0.0030401361412890284,0.004479539533952127,-0.001938473942235099,0.008036119627245103,-0.02126303569186102,-0.0043472623727851606,-0.018682744017996692,-0.034766569967846536,0.0015496358227386712,-0.5,0.5,0,0.0,0.0,0.0,1.0,15.44434899215603,15.443267750486301,0.0010812416697283795,0.0
70,-0.02213802829200496,0.003023442572500068,1.9288258263212978,0.04131296345446638,0.6925769927606135,0.03258002155559953,0.7194226090030197,0.005169526049326063,2.0966003357339528e-05,0.0026220724528812386,0.003447543698840903,-0.003703227280898842,0.009310904330926968,-0.029752087617117576,-0.004407410903972877,-0.02886513324380153,-0.039504257344681444,0.0017266808987659388,-0.5,0.5,0,0.0,0.0,0.0,1.0,14.731680663170952,14.729957029284291,0.0017236338866608496,0.0
75,-0.030829585906849283,0.009111119710269417,1.8473203499754387,0.06167308262842145,0.6841644196021435,0.048660627440073344,0.7250845613903998,0.004953536351579667,3.0208105576343057e-05,0.002461054738715494,0.00298861755304442,-0.004751302146922719,0.010390826915546868,-0.03543788227548379,-0.0044447571747918005,-0.03604899248258999,-0.04209799020933645,0.001486493905470772,-0.5,0.5,0,0.0,0.0,0.0,1.0,14.300127353110216,14.297867527667405,0.002259825442810859,0.0
80,-0.03912097002343863,0.01905378107668415,1.7630660016254676,0.08233924942682071,0.6750086841956873,0.06450288273093513,0.7303580645023604,0.004963276489676905,3.593766781518556e-05,0.002437187363425944,0.0028243969311887965,-0.0054446604244299136,0.011315200833915766,-0.039535286255362276,-0.004292457854250408,-0.041329183828356215,-0.04465048071218841,0.0016104542346853925,-0.5,0.5,0,0.0,0.0,0.0,1.0,13.831053564251357,13.828312536710026,0.0027410275413305204,0.0
85,-0.04744633485675928,0.033090609370635696,1.6757194649788176,0.10362667868555639,0.6663794786756747,0.08037949200170405,0.7339884461829658,0.004929809781048517,4.0415284482184797e-05,0.002396198980740129,0.002646126236886738,-0.0059581130462863716,0.011792630632559054,-0.042291766652979325,-0.004177944354799155,-0.04464809241061078,-0.04659977134348634,0.001851657657208764,-0.5,0.5,0,0.0,0.0,0.0,1.0,13.229370583425037,13.226277542481682,0.0030930409433553414,0.0
90,-0.05622550055288531,0.050974395162334304,1.5858792362669896,0.12473781899229551,0.6607304719982732,0.09589589729361284,0.7339480204811765,0.005155780339525506,4.129316963419181e-05,0.0025114373457470235,0.002807388680071852,-0.006108732280513218,0.012196864648117797,-0.04361534549638651,-0.004180636555192889,-0.046228719358688136,-0.04794966328416044,0.0019981325659288963,-0.5,0.5,0,0.0,0.0,0.0,1.0,12.416614363456926,12.413320920475309,0.0032934429816164545,0.0
95,-0.0640862440211577,0.07435699952344865,1.4914672654589443,0.1479140242381556,0.6502082275926815,0.11214719673496755,0.7367317751182899,0.005730249792307629,4.351090878585246e-05,0.0028037476934035053,0.003210429386748203,-0.006516323430525614,0.013284275705458875,-0.046935369752712036,-0.004298985950485948,-0.05019389638927482,-0.051416587334243806,0.0023614249428437033,-0.5,0.5,0,0.0,0.0,0.0,1.0,11.829084998951457,11.825254989353681,0.0038300095977754907,0.0
