index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos
208,0.06622565083790993,0.2858624100325134,0.9809821271605014,0.18642677669251723,0.12813146418080384,-0.2527189498502408,0.9407234010087733,-0.4999900462958937,1.1575040737435611,0.5013586505925679,0.5920047962357814,0.1193850682453845,0.5001909740490563,-0.12237227935413732,0.5004636726143128,0.046628781749519614,0.4709736413370021
216,0.06874075375959869,0.3092986904313153,0.9758746886164124,0.20701734145367823,0.12873256386341467,-0.25518284344565106,0.9356567018675148,-0.4999796001847079,1.1384640783439135,0.5003079112361676,0.5922041841574774,0.125714147914238,0.5001178363446103,-0.12240291377125063,0.5000863887640075,0.04657138737695324,0.47096028262510387
224,0.07131499534921762,0.3273172084942708,0.9772661780091557,0.2149438653434059,0.1298295128481329,-0.2545589617375118,0.9338860569384106,-0.5008995846053562,1.137890076356391,0.5001692595461416,0.5930369031612154,0.1370024733747594,0.5002075560993602,-0.14863672308080694,0.5000814656979408,0.04669450147364761,0.46266798401368986
232,0.0729557722726506,0.33810998865064695,0.9800931875161353,0.2186947480336795,0.13035456192121242,-0.25475412031093386,0.9328883285546113,-0.5001269861670125,1.1362822506306154,0.5001221661434692,0.5936237419039432,0.14661938472626007,0.5001736344800725,-0.1542904611705261,0.5000867854527068,0.046712414508839895,0.4626485960662409
240,0.07407738195457045,0.3438542252653833,0.9813237070400692,0.22017353001569773,0.1307000618274846,-0.2538417453767363,0.9327408422615633,-0.4999927104894857,1.1360911190386638,0.5001529316709201,0.5940641146749284,0.1490828689959051,0.5001482984398742,-0.15430170808210966,0.5000362603102756,0.04670294106033823,0.4626497623815675
248,0.07444189305941631,0.34520318642121145,0.98141870186857,0.22030885666045247,0.13077876136540714,-0.25297965995768146,0.932932052670713,-0.49997208572893814,1.1354419862238527,0.5001518979702718,0.594523294362773,0.14872551365880635,0.5001706468809566,-0.15432162278018002,0.5000204158566782,0.046674767383467,0.46265631597978313
256,0.07453872944152752,0.344646155144169,0.9811591224093412,0.22002610471805642,0.13075152506351687,-0.2527504598183283,0.9330647121168966,-0.49995415248886504,1.1348914776402637,0.5002025794402342,0.5948307772279591,0.14862621146830676,0.5001316001551656,-0.15434426255082254,0.5000074607142756,0.04664367485853726,0.46266115993763157
264,0.07471211909930255,0.3432974623799548,0.9806014605376292,0.21946579455632487,0.13060956499372522,-0.2522075308889233,0.9333634168504912,-0.49997177000583565,1.1348535581251764,0.5002497537970093,0.5952022754777577,0.1485258679299534,0.5001079187135511,-0.1543657006239205,0.500110222689468,0.046601226427060036,0.4626828774889424
272,0.07493423915921367,0.34118307610078424,0.9797997564781111,0.2186425957113854,0.13034882550449362,-0.2513690447287163,0.9338191486483661,-0.5000029809844364,1.1348209441516972,0.5002645126275921,0.5955705996835199,0.14843218543931286,0.5000973852963657,-0.15439442855268157,0.5000167814266525,0.046558848718658986,0.46269735499033204
280,0.07519972453726619,0.33838262759006577,0.9787945342495914,0.217619756977341,0.12999348383325307,-0.2502556763699233,0.9344064597265203,-0.5000003695779027,1.1347799712520699,0.5002558163101508,0.5959218204723811,0.14563615232411678,0.5000851321307143,-0.15441266341656118,0.5000013273825927,0.04651783109860016,0.46272220866330527
288,0.07550246283242257,0.334990376703238,0.9776324527934174,0.21643118626834118,0.12956088567507085,-0.2489135478532829,0.9351008310383759,-0.5000008203256642,1.1347484300407074,0.5002450773978208,0.5962345762402919,0.13983888190989627,0.5000748255721191,-0.1544356771913542,0.5000413582857699,0.046481271725459454,0.46273872575842323
296,0.07585612383765204,0.3310350879399692,0.9763146521036902,0.2150487587914589,0.1290517535024862,-0.24736548376038964,0.9359006323879554,-0.5000004101229527,1.1347123867182658,0.5002422818348715,0.5965427349482073,0.1331268816796895,0.5000701275047436,-0.15445481928814958,0.5000065713665895,0.046445068549293846,0.462759366616825
304,0.07626115576414959,0.32657312505609387,0.974863843259735,0.21349521656359727,0.12847419933436774,-0.24563049354956107,0.9367923106262428,-0.4999954437343759,1.1346719582791023,0.5002453658608408,0.5968421402783198,0.1255921324433187,0.5000669142832983,-0.15446963319946816,0.5000005898140801,0.046408296602463046,0.4627845643151912
312,0.07671608908471239,0.3216680200574254,0.973309209226591,0.2117870661638325,0.1278377438236196,-0.24373247649305654,0.9377623524978835,-0.4999966031429263,1.13463388838753,0.5002484438213727,0.5971327538571037,0.11735203301411948,0.5000649745266061,-0.15448662919154965,0.5000089054771737,0.046371446085067484,0.4628071018309612
