index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos
10,-3.5800060371886137e-37,2.778912898491912e-37,4.990638450574701,-2.402650486066795e-19,1.0851620850947902e-19,-6.99776528174321e-38,1.0,8.563303884661185e-38,-1.2094032506205425e-20,-1.3640075851963644e-37,-1.9259299443872357e-35,-8.642253025925279e-40,-1.0834767111720315e-18,-2.047339586438724e-37,4.411671184092127e-19,2.575723469212183e-37,5.637917414903999e-19
11,-4.5774310682172e-37,4.068185461329999e-37,4.988767019410102,-3.11905397917967e-19,1.1754661354757693e-19,-1.1572773335693192e-37,1.0,2.0815787191444715e-37,-1.7728324468580092e-21,-7.8005927886256e-38,-1.9259299443872357e-35,-1.1022315088731248e-38,-1.3170950949421024e-18,-1.927720307322947e-37,4.624141516401599e-19,4.286453450570958e-37,5.768236293583442e-19
12,-5.657173775328227e-37,5.607543706930744e-37,4.986725727740872,-3.910110965969202e-19,1.1707273256585696e-19,-1.4944179343682263e-37,1.0,3.3281501750969003e-37,6.254613836436996e-21,-8.619042791833881e-38,-4.4938365369035504e-35,-2.0890725378065187e-38,-1.4999297945239906e-18,-2.1344713305418607e-37,5.116939973991503e-19,5.880926707042718e-37,6.17243866813524e-19
13,-6.493304076602082e-37,8.284066280017839e-37,4.984514630461776,-4.878270739816475e-19,1.1720141550821853e-19,-1.484198456001706e-37,1.0,3.906965448208302e-37,2.825314714025635e-20,-2.3081538043299774e-37,-3.851859888774472e-35,-5.191037570716536e-38,-1.6756417226322048e-18,-4.949325599359142e-37,5.896929329817785e-19,5.712843405515064e-37,6.118557059214959e-19
14,-7.453261490164116e-37,1.318712533147644e-36,4.982133784756927,-5.892378078831101e-19,1.1854201961393678e-19,-1.1102818266834147e-37,1.0,3.400267656942789e-37,4.054696084725805e-20,-5.857322919591516e-37,-3.851859888774472e-35,-7.14286320118941e-38,-1.920066071328289e-18,-9.021495459972302e-37,6.295741163669261e-19,5.549116985068534e-37,6.131092929480276e-19
15,-8.069478435613284e-37,1.910679329081575e-36,4.979583250096733,-7.093801187665632e-19,1.153498575696529e-19,-9.587042431785561e-38,1.0,3.826525297911813e-37,8.051890589169953e-20,-8.529603368847259e-37,-1.2839532962581575e-35,-1.4513138874278832e-37,-2.140008667925535e-18,-1.3648242603688796e-36,6.415026755986397e-19,4.772227549637591e-37,5.309119201336551e-19
16,-8.865886390834006e-37,2.6447455483547438e-36,4.976863088234716,-8.244341962793978e-19,1.147552188671167e-19,-5.933498432579588e-38,1.0,3.168966022222223e-37,9.960389055762723e-20,-1.289972129335983e-36,-1.2839532962581575e-35,-1.850999101462705e-37,-2.3677721879797544e-18,-1.8836170810663608e-36,6.7969551817415195e-19,2.587345411935985e-37,4.7663678454191765e-19
17,-9.599477352742129e-37,3.5378059667834605e-36,4.973973363204215,-9.467687299715813e-19,9.911174464918266e-20,-9.348329233600595e-39,1.0,2.58705285514605e-37,1.292024742379207e-19,-1.7251224843947317e-36,-1.2839532962581575e-35,-2.544734545380355e-37,-2.520116470678331e-18,-2.3316729326402444e-36,6.71743675911638e-19,1.9680128831469782e-37,3.844211411319726e-19
18,-1.0261214966603732e-36,4.3164094534472684e-36,4.970914141314964,-1.0538068268340414e-18,7.339348553096903e-20,-8.969109774885519e-38,1.0,5.87288786508881e-37,1.4085090598775772e-19,-1.4843876311688637e-36,-1.2839532962581575e-35,-2.8390657148282314e-37,-2.643508472181775e-18,-2.1271769471064605e-36,7.524332978619274e-19,4.5024222097484925e-37,3.94574595559466e-19
19,-1.0194431787887146e-36,5.4457607982432255e-36,4.967685491149551,-1.1829928554795383e-18,2.866399621754106e-20,7.849337568592482e-38,1.0,3.638838099340142e-37,1.624612850184035e-19,-2.0029736252926726e-36,-1.2839532962581575e-35,-3.4106108575414407e-37,-2.7577332565111897e-18,-3.2163531915055496e-36,7.507889356939739e-19,1.7118363193908334e-37,3.4175814657047033e-19
