frameID,obj_joint_0_pos_x,obj_joint_0_pos_y,obj_joint_0_pos_z,obj_joint_1_pos_x,obj_joint_1_pos_y,obj_joint_1_pos_z,obj_joint_2_pos_x,obj_joint_2_pos_y,obj_joint_2_pos_z,obj_joint_3_pos_x,obj_joint_3_pos_y,obj_joint_3_pos_z,obj_joint_4_pos_x,obj_joint_4_pos_y,obj_joint_4_pos_z,obj_joint_5_pos_x,obj_joint_5_pos_y,obj_joint_5_pos_z,obs_pos_x,obs_pos_y,obs_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
111,0.7818835973739624,0.04608476907014847,0.3719666600227356,0.8135201334953308,0.07579643279314041,0.3217768669128418,0.8231489658355713,0.07683174312114716,0.255998432636261,0.7832629084587097,0.08123953640460968,0.12876372039318085,0.7470135688781738,0.0822671577334404,5.442320980364457e-05,0.6863446235656738,0.08844700455665588,-0.11601635068655014,0,0,0,0.0,0.0,0.0,1.0,0.05997591810844628,0,0.05997591810844628,0.0
112,0.7841556668281555,0.05105254426598549,0.37559840083122253,0.8145530819892883,0.08203195035457611,0.3246598243713379,0.8268477320671082,0.08225279301404953,0.25871503353118896,0.7851917147636414,0.08639273047447205,0.13072015345096588,0.7495471239089966,0.08558738231658936,0.0015345483552664518,0.6878430843353271,0.09211905300617218,-0.11354139447212219,0,0,0,0.0,0.0,0.0,1.0,0.06284143519449706,0,0.06284143519449706,0.0
113,0.7863600850105286,0.05565723031759262,0.37889814376831055,0.8158155679702759,0.08792746812105179,0.32838132977485657,0.8310133814811707,0.09073503315448761,0.26292142271995544,0.7906526923179626,0.09132900089025497,0.13435852527618408,0.7541388869285583,0.08943217992782593,0.004598787520080805,0.6906693577766418,0.09706198424100876,-0.11083098500967026,0,0,0,0.0,0.0,0.0,1.0,0.06558391325589395,0,0.06558391325589395,0.0
114,0.78819739818573,0.06010610610246658,0.38200613856315613,0.8166266083717346,0.09407147020101547,0.3308391571044922,0.8320074081420898,0.09764456003904343,0.265724241733551,0.7945795059204102,0.09739835560321808,0.13576120138168335,0.7596712708473206,0.09532897919416428,0.0049683330580592155,0.6926516890525818,0.1035248264670372,-0.10878751426935196,0,0,0,0.0,0.0,0.0,1.0,0.06821242789881957,0,0.06821242789881957,0.0
115,0.7899482250213623,0.06444307416677475,0.3848920464515686,0.8175134062767029,0.1004190519452095,0.3335392475128174,0.8358492851257324,0.10385148227214813,0.2691057026386261,0.7978971600532532,0.1003880724310875,0.13821551203727722,0.7623889446258545,0.09718560427427292,0.00674149114638567,0.6942347884178162,0.10746151208877563,-0.10682056844234467,0,0,0,0.0,0.0,0.0,1.0,0.07086485726421514,0,0.07086485726421514,0.0
116,0.7924287915229797,0.06345542520284653,0.38982751965522766,0.818367063999176,0.10629724711179733,0.33673804998397827,0.8392615914344788,0.1109229102730751,0.2724916338920593,0.802056610584259,0.10536810010671616,0.14017128944396973,0.7664365768432617,0.10100626945495605,0.008170705288648605,0.6958807110786438,0.1122865378856659,-0.10478611290454865,0,0,0,0.0,0.0,0.0,1.0,0.07207762212619316,0,0.07207762212619316,0.0
117,0.7939200401306152,0.06555270403623581,0.3920896351337433,0.8188876509666443,0.11271575838327408,0.33958497643470764,0.8402150869369507,0.11768215149641037,0.27479082345962524,0.8056923747062683,0.108432836830616,0.14171384274959564,0.7694621682167053,0.10382022708654404,0.009341388009488583,0.6972410082817078,0.116253562271595,-0.10319668799638748,0,0,0,0.0,0.0,0.0,1.0,0.07374597435982602,0,0.07374597435982602,0.0
118,0.7969143390655518,0.06831186264753342,0.3964429497718811,0.8195270895957947,0.11891493946313858,0.3409493565559387,0.8407441973686218,0.12415606528520584,0.27568498253822327,0.8092593550682068,0.11274480074644089,0.14258454740047455,0.773442268371582,0.10886045545339584,0.009359634481370449,0.6985583901405334,0.12193187326192856,-0.10228262096643448,0,0,0,0.0,0.0,0.0,1.0,0.07639535869002899,0,0.07639535869002899,0.0
119,0.7973364591598511,0.07143106311559677,0.3963732123374939,0.8195871710777283,0.12486135214567184,0.3420964777469635,0.8406738638877869,0.13052546977996826,0.2760468125343323,0.8126559853553772,0.1168208047747612,0.14236240088939667,0.7764825820922852,0.11245151609182358,0.008860193192958832,0.6993918418884277,0.12662330269813538,-0.1018608808517456,0,0,0,0.0,0.0,0.0,1.0,0.07785620417467401,0,0.07785620417467401,0.0
120,0.7987990975379944,0.07347824424505234,0.3962650001049042,0.8192285895347595,0.13057605922222137,0.3425831198692322,0.8408489227294922,0.1372295320034027,0.2761443555355072,0.8156212568283081,0.12002120167016983,0.1423417031764984,0.7795804738998413,0.1154097318649292,0.008104326203465462,0.6999865174293518,0.13114885985851288,-0.10178393125534058,0,0,0,0.0,0.0,0.0,1.0,0.07914293966919776,0,0.07914293966919776,0.0
121,0.8000503778457642,0.0765666514635086,0.3955641984939575,0.8191733956336975,0.13664765655994415,0.3429170548915863,0.8409867286682129,0.1440867930650711,0.27635857462882996,0.818891704082489,0.12309570610523224,0.14231762290000916,0.7828249335289001,0.11776980757713318,0.00749864149838686,0.7006615400314331,0.13555343449115753,-0.10164307802915573,0,0,0,0.0,0.0,0.0,1.0,0.08071703099168051,0,0.08071703099168051,0.0
122,0.8018344044685364,0.0788038969039917,0.39463332295417786,0.8193045854568481,0.14179252088069916,0.34700143337249756,0.8399684429168701,0.1507432609796524,0.2767588496208191,0.8242040276527405,0.1280009001493454,0.14231501519680023,0.7870501279830933,0.12226159125566483,0.007500430569052696,0.7012814283370972,0.1404036432504654,-0.10117857903242111,0,0,0,0.0,0.0,0.0,1.0,0.08199585207197821,0,0.08199585207197821,0.0
123,0.80271315574646,0.0825800746679306,0.39417606592178345,0.8194546699523926,0.14768683910369873,0.34867143630981445,0.838433563709259,0.15758419036865234,0.2774738669395447,0.8283202648162842,0.13273277878761292,0.14186982810497284,0.7898192405700684,0.12719976902008057,0.006508584134280682,0.7012161016464233,0.14536622166633606,-0.10127241164445877,0,0,0,0.0,0.0,0.0,1.0,0.0838992590229207,0,0.0838992590229207,0.0
