index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w
0,0.0,-1.3,1.7,-0.0007956920697244818,0.0007969603417828076,-0.0007956920697244819,0.9999990493007851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.9999,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
100,-0.040887193283981195,-1.28941473279329,1.2534514866593127,-0.2404655654764919,-0.09934465319559231,-0.031427356852984506,0.9650488448481526,0.41366215001140966,0.2125806750657102,0.01427652948353545,-0.005549034316701046,-0.07745692270901947,-0.11248250649993374,0.06671545566445763,0.15001370572113895,0.10000054670984096,0,5.9899000000000235,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
200,-0.02098312308745459,-1.3008063574545257,1.2358111344792042,-0.2187026880993665,-0.062048967741356556,-0.01953958389222736,0.9736206984661234,0.42807442856290717,0.16491067809204366,-0.023123678715661292,-0.00803388590440123,-0.05160704231270757,-0.1065847323113116,0.05732429296636011,0.1500696293716832,0.10000159526600276,0,5.979900000000047,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
300,-0.021231308775979663,-1.301856658683847,1.2362251717919235,-0.21971847326490926,-0.06243684051012889,-0.01972166009056702,0.9733634930366569,0.42963380218693803,0.16547973314375822,-0.02292620217481218,-0.009396448623979781,-0.052615100808652185,-0.10087536595982728,0.05851610552425974,0.1500004645517135,0.10000087097515488,0,5.96990000000007,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
400,-0.020556051948475897,-1.3027946420799335,1.2383702730393733,-0.22128044544977335,-0.05998539233288483,-0.019191376761171594,0.9731743976421855,0.43125427033061314,0.1662732715664362,-0.022776970226205347,-0.010363808135664931,-0.05281496432862826,-0.09642091375988175,0.05907582678213754,0.15000047963897986,0.09999957676435631,0,5.9599000000000935,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
500,-0.02343565589464242,-1.30375609208724,1.2332762733217308,-0.2240355606062503,-0.06840735557498161,-0.021999910560914313,0.9719282407782958,0.44446103172353246,0.16173085527398706,-0.02253790651791612,-0.00923730912225195,-0.05970942540224334,-0.09395002539700273,0.060202714719099146,0.1500006610561633,0.09994798902712003,0,5.949900000000117,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
600,-0.02333615802127203,-1.306515115771149,1.2347333186663827,-0.2253533869334886,-0.06661873423731518,-0.021861437609161257,0.9717509314592315,0.44642532724859113,0.1614318453292164,-0.022114223660303987,-0.009173360302107695,-0.061920037820304016,-0.0879156471098526,0.06086386003444444,0.15000028081845748,0.0998901852109067,0,5.93990000000014,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
700,-0.02415389269662264,-1.3084512344481114,1.2376512469495022,-0.22838311201614397,-0.06341122372632801,-0.02182030253400776,0.9712590000863185,0.4510726379097776,0.16163917049378634,-0.021955062270912356,-0.009065333122426918,-0.062300497507556306,-0.08446317562856893,0.06122141106997454,0.15000092363067527,0.09989927887885412,0,5.929900000000163,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
800,-0.02508235841767392,-1.3100388363355338,1.2409374073125947,-0.23141526537008286,-0.05906530071298379,-0.021630604827597977,0.9708194384849179,0.45591170327905334,0.16169120344525303,-0.02191443633455834,-0.009384288342081647,-0.06199062477226189,-0.08194378264679561,0.061093565660517844,0.15000084881862982,0.09980365839962246,0,5.919900000000187,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
900,-0.025614098816211472,-1.3123164342112559,1.2429398465495674,-0.2348598490606051,-0.057112534196570086,-0.021838879786550205,0.9701041557825345,0.463011316212709,0.16177415215235058,-0.023202573777345876,-0.00998033721568144,-0.06185709449048832,-0.07750470406311159,0.06108317836703512,0.15000001919420397,0.09980153688834946,0,5.90990000000021,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
1000,-0.02559117027775802,-1.3148103881084605,1.2445089275979662,-0.23804587352544954,-0.05624490972246728,-0.021843321479710992,0.9693779147136329,0.4694929581033043,0.16193118701997633,-0.023769121870326534,-0.010926489879163389,-0.062493953185766705,-0.07206497478112334,0.061494136783686724,0.15001032276589063,0.09986123091240584,0,5.899900000000233,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
1100,-0.02713664417902306,-1.315353451664947,1.2434684650141596,-0.23816260190955674,-0.058330802380398485,-0.022749669176762233,0.9692051099213607,0.47024797260777396,0.16217537988616648,-0.023589413421736278,-0.01100430991618724,-0.06294522131885526,-0.07361181119854637,0.06494215691596138,0.15001907979568005,0.10000128247179,0,5.889900000000257,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
1200,-0.028267201075221408,-1.3164381930552156,1.244209940320915,-0.23929731913156252,-0.05819709128548225,-0.023155868484482377,0.9689239894734187,0.4716892463762712,0.16262158633403612,-0.023152733739845246,-0.01064588658420441,-0.06337174158942611,-0.07355987411263719,0.06828488880181847,0.1500510116269166,0.09999993531712201,0,5.87990000000028,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
1300,-0.02880402099305936,-1.3183132244531452,1.2460653122051966,-0.24191530967592637,-0.05655105612153659,-0.023247509353058894,0.9683689969762657,0.47634047992047235,0.1628896192522185,-0.023283451191091684,-0.010915382526255332,-0.06281262446882763,-0.07251125659223562,0.07110580565927227,0.15000113536837337,0.10000040272743985,0,5.869900000000303,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
1400,-0.029495282768819017,-1.32038794494953,1.2475051867402156,-0.24472910269698583,-0.05554495717400219,-0.02358735796191308,0.9677117652328316,0.4819993967122118,0.16307890404448744,-0.023924663911073053,-0.010921571739640923,-0.06239643154185816,-0.07193937814616444,0.07436205675825666,0.15000092503327286,0.09999982117419817,0,5.8599000000003265,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
1500,-0.030619378946151,-1.3225917780121161,1.2486178599187956,-0.24744894606559137,-0.055263768311608584,-0.02419765574336391,0.9670208934969061,0.4874222825761733,0.16323158328136575,-0.023996532457822267,-0.010919775095204509,-0.062352619271336035,-0.07187552085246454,0.07835069379330976,0.1500006301044754,0.09999776883568212,0,5.84990000000035,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
1600,-0.03153242019205859,-1.3248009193497092,1.249861540774009,-0.25026395801971013,-0.05472360373886835,-0.02471282208456697,0.9663139008286886,0.49307505517597544,0.16338531732119108,-0.024270346232267166,-0.010916563428963284,-0.06217916619439088,-0.07163448360708152,0.08207662612709594,0.1500018127879678,0.09998880869979912,0,5.839900000000373,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
1700,-0.03377073470244804,-1.3271088858787177,1.2497391358914889,-0.2524740465215238,-0.05658748294880405,-0.026041181279800443,0.965596483777835,0.49783490119057316,0.16372196563543295,-0.023900219980290672,-0.010876822686001784,-0.06277819702064949,-0.07310364645915564,0.08901801912597551,0.15000068108152742,0.09887659711794068,0,5.829900000000396,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
1800,-0.03412636173828516,-1.3285888969020414,1.2520724253699849,-0.254524574246719,-0.054296745407788914,-0.02586118891255883,0.9651944381577616,0.5001179908101974,0.16505506987595991,-0.024313974258565768,-0.01072443884460964,-0.06254329616134148,-0.07138098271229425,0.09123578073219259,0.14998283948223484,0.09892327082871423,0,5.81990000000042,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
1900,-0.03426124176801746,-1.3292546093512048,1.2536179045426667,-0.25538067026417116,-0.052788565234867746,-0.02562757232913273,0.9650581890085084,0.5000723674208638,0.16701277144238894,-0.025448115571984665,-0.010635561155483584,-0.06197506004130239,-0.0703128620375504,0.09494863539462192,0.15001195480901922,0.09896716547466916,0,5.809900000000443,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
2000,-0.03425458629497846,-1.3301881174180081,1.2560861858652919,-0.2567006379242261,-0.05021472506332914,-0.025148537593693,0.964857924739704,0.5000733711608425,0.16999449096725341,-0.0274147718318431,-0.010087943440798127,-0.06176700525617059,-0.06808491736228352,0.09708336045797528,0.15000302801140503,0.09901366614788613,0,5.799900000000466,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
2100,-0.034103549446067125,-1.3309833748305002,1.2583992350260742,-0.2579034024316765,-0.04771017638983056,-0.02465100602015308,0.9646770972637478,0.5000747436335319,0.1727388216025913,-0.029333442389603972,-0.009787921984013213,-0.061094520405137125,-0.06615196524753535,0.0994272052109517,0.15000310991140242,0.09907933110043737,0,5.78990000000049,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
2200,-0.034242377033364774,-1.331750891026849,1.2599848094799744,-0.2588404201322063,-0.04628488255740494,-0.02443666447167478,0.9645010088029607,0.5000728651591886,0.17481849155827417,-0.03040744040898235,-0.009479576144265586,-0.06100126068297958,-0.0649231222366146,0.10326957320406292,0.1500221228891031,0.0991628916926982,0,5.779900000000513,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
2300,-0.034359378112723986,-1.332530770663913,1.2615770005954625,-0.2597854183677836,-0.04486622120791468,-0.024215559781861344,0.9643195348339934,0.5000734117766698,0.17691264818567823,-0.031473734948525726,-0.009174044162228246,-0.06091012986792398,-0.06369904749029355,0.10717625277819681,0.15000049724652315,0.09928665521221423,0,5.769900000000536,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
