index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obs_pos_x,obs_pos_y,obs_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
28000,0.5938534508493376,-0.7594799854558579,1.4668979210895225,0.37163367549577747,-0.09466135868788035,0.08668728879437208,0.9194634045846223,0.47830253497754166,-0.36650917293253443,-0.30009363369308795,-0.25019140270108614,-0.25042123066249816,-0.20047179855939998,-0.20001222995881243,-0.15029489194840726,0.1000850680156041,0,4.000100000004661,2.350150000000378,2.3902137376083713e-05,0.030015481680210895,0.9995491167137684,0.0007959679127050997,26.05203308799131,22.578033087991308,3.474,inf
28500,0.591517131077885,-0.7173239378813125,1.6252212531223391,0.3788979312989321,-0.09169261613100178,0.08861522224737839,0.916611239397865,0.47344648033954984,-0.39531205444973533,-0.300076288313471,-0.2502318647772415,-0.25043076170142375,-0.20047442631695078,-0.20007291727821863,-0.15027989225329838,0.10008568061988402,0,4.050100000004544,2.4251500000004254,3.1860488745569295e-05,0.04000930549508407,0.9991989898601633,0.0007956890972510255,27.43301698697261,23.891016986972613,3.542,0.0
29000,0.5883074692056414,-0.6788661402788783,1.7915039813812061,0.3769147836515899,-0.08905366969624694,0.08988885509704764,0.9175645391512517,0.46305939198907325,-0.39999969455747625,-0.30014880689468365,-0.25023139976869674,-0.25039829272254643,-0.20041761783510106,-0.20040376395419138,-0.1502665141079103,0.10007753667900081,0,4.100100000004428,2.5001500000004726,3.981565409273064e-05,0.04999912841274873,0.9987489439402353,0.0007953307135502982,28.841185748762808,25.345685748762808,3.4955,0.0
29500,0.5851696083992947,-0.6352231933827223,1.9628731902739882,0.3724391844000136,-0.08671987266066307,0.09130268761852653,0.9194740544696217,0.4508699008065068,-0.400006517965054,-0.3001728041145744,-0.2502479806244246,-0.25042927279054644,-0.20047132406942006,-0.20031145739148404,-0.15030571864994938,0.10008606206442773,0,4.150100000004311,2.57515000000052,4.776683790766231e-05,0.0599839514592379,0.9981990239582013,0.0007948927974409893,30.22401221698606,26.774012216986062,3.45,0.0
30000,0.5891096521723239,-0.5828720251393436,2.131588927686823,0.3687480668514819,-0.08715040577731051,0.09309273756095103,0.9207406867188791,0.43801361057125765,-0.40002093934988286,-0.3001995596613788,-0.25023825000096045,-0.2504230745917747,-0.20050217777917811,-0.20001362220935257,-0.15030667440296855,0.10009193833220072,0,4.200100000004195,2.650150000000567,5.5713245078610855e-05,0.06996277616057021,0.9975492849056009,0.0007943753927143446,31.594664486642447,28.189164486642447,3.4055,0.0
30500,0.6174891924593624,-0.5263891889551235,2.3055311747349356,0.3649215119811039,-0.09345837010817688,0.09761663788599437,0.9211779497784252,0.4239898368019636,-0.4000181801164249,-0.30022566981767934,-0.25023894804067365,-0.2504187537760317,-0.20052591961781424,-0.20002937265125295,-0.15031397325890272,0.10009179913769654,0,4.250100000004078,2.7251500000006144,6.365408097147976e-05,0.07993460464258943,0.9967997917557982,0.0007937785511104055,32.820069223083195,29.500569223083193,3.3194999999999997,0.0
31000,0.618230732164534,-0.4711506069322922,2.4807249013301536,0.35940291354012727,-0.09361282002310516,0.0992590396364853,0.9231542821850701,0.4115015463327407,-0.399994458824881,-0.3001941408820158,-0.2502618198013259,-0.250405174925111,-0.2003609727245856,-0.20040315389243557,-0.15016278914076484,0.10006609295067151,0,4.300100000003962,2.8001500000006616,7.158855150929642e-05,0.08989843973075635,0.9959506194574836,0.0007931023323128355,34.19881758766426,30.920817587664256,3.2779999999999996,2.431037570246282
31500,0.6154345386902869,-0.40470736834493065,2.662107420635405,0.3525869228045855,-0.09249610679752841,0.10142971920592084,0.9256559534493912,0.3975930204069392,-0.40021178674760804,-0.3002194256285925,-0.2502762214055151,-0.25050810293759973,-0.20048691465784033,-0.2000056844359085,-0.1503095128744368,0.10006771510909501,0,4.350100000003845,2.875150000000709,7.951586325161907e-05,0.09985328504986532,0.9950018529271794,0.0007923468039429505,35.59829927576506,32.36079927576506,3.2375000000000003,0.0
32000,0.6205979275470932,-0.34594731106173177,2.8435073730742717,0.3454361672991481,-0.09133823008580746,0.10449420258083879,0.9281229140978374,0.38454271706685633,-0.40000883171908935,-0.30021794706000693,-0.2502767728057342,-0.2504411235881055,-0.2002531848164509,-0.20018428632400254,-0.15014647294688635,0.10004006728220073,0,4.400100000003729,2.950150000000756,8.743522347387954e-05,0.10979814512368007,0.9939535870407477,0.0007915120415529579,36.81565374013948,33.65615374013948,3.1595000000000004,0.0
32500,0.6211704603739298,-0.29521319469236085,3.0120087971851395,0.3414163251606687,-0.08967863499160542,0.10599917687213667,0.9296003495278261,0.3729631561731444,-0.400007662797153,-0.30023912805114256,-0.2502946395310118,-0.25041607758828194,-0.20020066494428365,-0.20016779166089288,-0.15013375995048223,0.1000335184387257,0,4.450100000003612,3.0251500000008034,9.534584024665508e-05,0.1197320254744806,0.9928059266239038,0.0007905981286184012,38.17585121167189,35.05385121167189,3.122,1.1644939513365387
33000,0.6228353996765873,-0.24171594287249187,3.1817307239889163,0.33701464120256186,-0.08808296168105272,0.10771456856631051,0.9311606172917626,0.3615902687465379,-0.4001010391445369,-0.3002433617564277,-0.25031145613774186,-0.2503999708595103,-0.20017685090633663,-0.20000100301833554,-0.15013703319234492,0.1000410599371643,0,4.500100000003496,3.1001500000008506,0.00010324692251485776,0.12965393272250655,0.9915589864417333,0.0007896051565298124,39.53477381649188,36.449273816491875,3.0854999999999997,0.0
