index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos
88,0.7,-0.9,3.1419227992297096,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.4677079458641908e-18,6.531329995108381e-18,-3.01729024620667e-34,-5.133134799526742e-18,5.738831153340878e-18,3.451960501015363e-18,9.391377886751906e-18,-1.2149780038834179e-19,2.439090435753432e-19
96,0.7,-0.9,3.019173381144556,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.4913160993606912e-18,6.989797016849575e-18,-3.5308715647099327e-34,-5.309843881543674e-18,6.862535194970423e-18,3.695021615303401e-18,1.0384119062133213e-17,-1.366403211065646e-19,3.0960499122567304e-19
104,0.7,-0.9,2.886341081876897,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.556037301242651e-18,7.368228343136634e-18,-4.172848212839012e-34,-5.5988128644311616e-18,7.80262828008344e-18,4.5695469266871775e-18,1.1838339351139739e-17,-1.662679411665983e-19,4.971320882100171e-19
112,0.7,-0.9,2.743545338911585,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.5442357418196525e-18,9.211505791867063e-18,-4.301243542464827e-34,-5.644900120603404e-18,8.701443194508749e-18,5.283527616228057e-18,1.3206053582446719e-17,-1.9124980100424279e-19,4.71748136557684e-19
120,0.7,-0.9,2.5909120361959124,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.3231350946571007e-18,1.1070543946577432e-17,-3.5308715647099327e-34,-5.0497578086849814e-18,9.773460701780896e-18,5.861920484638273e-18,1.4192465114928322e-17,-2.1559581807893437e-19,3.8391979882585805e-19
128,0.7,-0.9,2.4285731261769046,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.1541622095814188e-18,1.2886913067188211e-17,-3.1456855758324856e-34,-4.614757223781537e-18,1.0803533253515075e-17,6.673327668549846e-18,1.516974567092888e-17,-2.4501170625342715e-19,3.0597634559994805e-19
136,0.7,-0.9,2.2566662416268706,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.0202357750317456e-18,1.3856033833887753e-17,-2.7604995869550385e-34,-4.293736936868889e-18,1.1887107756432457e-17,7.391276602662911e-18,1.6544504137276393e-17,-2.7304551652883893e-19,3.9886810559294813e-19
144,0.7,-0.9,2.0753342995153727,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,8.189125423270562e-19,1.5647711319124542e-17,-6.419766481290791e-35,-3.765162509840794e-18,1.3006426540028622e-17,7.986300042872897e-18,1.7871134135627545e-17,-2.9936679202741495e-19,5.6512782426048155e-19
152,0.7,-0.9,1.8847250991553468,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,7.645568167072344e-19,1.6933306848588756e-17,-3.851859888774477e-35,-3.6867784053145085e-18,1.4012690160353816e-17,8.709708130184267e-18,1.9031870244010644e-17,-3.2650349142461645e-19,6.974518796885275e-19
160,0.7,-0.9,1.684990916801517,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,8.130751695508896e-19,1.7661822046054668e-17,-1.1555579666323421e-34,-3.937750563986601e-18,1.509337086727283e-17,9.554785544618191e-18,2.0163046922861825e-17,-3.5556472204846736e-19,6.740894255799325e-19
