index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w
0,0.0,-1.3,1.7,-0.0007956920697244818,0.0007969603417828076,-0.0007956920697244819,0.9999990493007851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.9999,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
100,-0.04088719328400183,-1.289414732793332,1.2534514866593403,-0.24046556547656198,-0.0993446531955905,-0.03142735685299329,0.965048844848135,0.4136621500115515,0.2125806750657123,0.014276529483537484,-0.005549034316692781,-0.07745692270903407,-0.11248250649992841,0.06671545566441126,0.15001370572113895,0.100000546709841,0,5.9899000000000235,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
200,-0.02098312308745594,-1.3008063574545852,1.2358111344792142,-0.21870268809944376,-0.06204896774136752,-0.01953958389223514,0.9736206984661051,0.42807442856310873,0.16491067809200724,-0.023123678715666427,-0.008033885904420182,-0.05160704231269004,-0.1065847323112877,0.05732429296630737,0.1500696293716829,0.10000159526600208,0,5.979900000000047,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
300,-0.02123130877598872,-1.3018566586839062,1.2362251717919184,-0.21971847326498128,-0.06243684051016316,-0.019721660090580604,0.9733634930366383,0.4296338021871382,0.165479733143721,-0.02292620217481958,-0.00939644862396425,-0.05261510080870999,-0.10087536595976672,0.05851610552421552,0.1500004645517135,0.10000087097515489,0,5.96990000000007,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
400,-0.020556051948485525,-1.3027946420799923,1.2383702730393678,-0.22128044544984432,-0.0599853923329192,-0.019191376761185014,0.973174397642167,0.43125427033081154,0.1662732715663973,-0.022776970226211845,-0.010363808135646998,-0.052814964328688936,-0.09642091375982247,0.05907582678209541,0.1500004796389799,0.09999957676435643,0,5.9599000000000935,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
500,-0.023435655894641458,-1.3037560920872815,1.233276273321747,-0.22403556060631744,-0.06840735557498177,-0.021999910560914795,0.9719282407782803,0.4444610317236989,0.16173085527396197,-0.022537906517926608,-0.009237309122237223,-0.05970942540226388,-0.09395002539697574,0.06020271471905876,0.15000066105616328,0.09994798902712333,0,5.949900000000117,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
600,-0.02333615802126968,-1.306515115771193,1.2347333186663938,-0.2253533869335464,-0.06661873423731304,-0.02186143760916031,0.9717509314592183,0.4464253272487446,0.16143184532918683,-0.022114223660319867,-0.009173360302090504,-0.0619200378203243,-0.08791564710982218,0.06086386003440145,0.15000028081845748,0.0998901852109121,0,5.93990000000014,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
700,-0.024153892696618547,-1.3084512344481691,1.237651246949506,-0.22838311201620776,-0.06341122372635462,-0.02182030253401208,0.9712590000863017,0.4510726379099392,0.1616391704937686,-0.021955062270919718,-0.009065333122419802,-0.06230049750757948,-0.08446317562854584,0.061221411069951395,0.15000092363067516,0.09989927887885934,0,5.929900000000163,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
800,-0.02508235841766962,-1.3100388363355928,1.2409374073125978,-0.23141526537014798,-0.059065300713012615,-0.02163060482760256,0.9708194384849005,0.45591170327921804,0.1616912034452358,-0.021914436334565583,-0.009384288342072795,-0.06199062477228852,-0.08194378264677461,0.06109356566049796,0.15000084881862982,0.09980365839963416,0,5.919900000000187,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
900,-0.02561409881620434,-1.312316434211311,1.2429398465495975,-0.2348598490606843,-0.05711253419654141,-0.021838879786544762,0.9701041557825172,0.46301131621290553,0.16177415215231977,-0.023202573777365624,-0.009980337215663476,-0.061857094490462915,-0.07750470406317664,0.06108317836701996,0.1500000191942054,0.09980153688836087,0,5.90990000000021,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
