index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,escape_energy_cost
200,1.1182327500151794,-0.04385422450361283,1.2804884615385936,0.023768416949308802,0.9854586750718725,0.038604068650990635,0.16375587917660545,0,0,2,0.706825181105366,0.0,0.0,0.7073882691671998,inf,inf
400,-0.18485457193107435,0.05301651883037511,1.6962328012109051,0.014056640977777961,0.8862457094857548,0.09433417839009699,-0.4532902117297246,0,0,2,0.706825181105366,0.0,0.0,0.7073882691671998,1.6962328012109051,0.46716719777470384
600,1.202748531148148,-0.11763908361713875,1.3371637034158774,0.16407415212271373,0.9596165084250269,0.021468899231928597,0.22749706751767634,0,0,2,0.706825181105366,0.0,0.0,0.7073882691671998,1.3371637034158774,0.9225534759961098
800,0.884848061816969,0.009935495687644243,1.228720222948629,-0.05745426921056316,0.9969888471702043,0.007911267104856533,0.05147482317116476,0,0,2,0.706825181105366,0.0,0.0,0.7073882691671998,1.228720222948629,1.1331178685789882
