index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w,box_pos_x,box_pos_y,box_pos_z,box_eul_x,box_eul_y,box_eul_z
70,0.00010072740767303792,1.4992744182002025,3.0915454881152935,0.02104646207798904,-0.0022122314738386665,8.175038918558752e-05,0.9997760478140991,1.2472808636878272e-06,-0.000738988768313539,-0.00027522977659942863,-0.03475355299401564,-5.1362671586372764e-05,-0.024114673954074774,-0.0001534986765436898,0.022409732507657085,-0.0001703388743955933,0.03868161089975233,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.056800000000000045,0,0
77,0.0004765535997389795,1.4984808773109013,3.0706773222560053,0.05070991965999564,0.006635221964038735,0.0004325889700654954,0.9986912890099461,0.0005698819535515846,-0.0015084634515469576,-0.00038089508040035935,-0.012254534504858004,-0.00029959088172603466,-0.03952034253113963,-0.0009276624128212937,0.03280324018369203,0.0010969384565226678,0.007605289309290043,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.06240000000000006,0,0
84,0.0005443448706703378,1.4985009558456082,3.0700657090184955,0.050588782411150675,0.011884377624773445,0.0006782683463879256,0.9986486252004152,0.0005725313856227849,0.04651893618734848,-0.00037203254571319003,0.003962915400340924,-0.0002888085640753404,-0.042121026508098396,-0.0011629332320668812,0.034041939467057525,0.0010938590446966246,-0.005970428531203096,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.06800000000000003,0,0
91,0.0005463655338732426,1.4983870157603985,3.070076338981453,0.0534081443063037,0.011936234313216089,0.0007193320308141904,0.9985011662454915,0.0005553943102722569,0.06907478944189956,-0.0003981005491182259,0.003460554830279815,-0.00031492041720391676,-0.0428235093554488,-0.0011590042349269743,0.034191190225735316,0.0010879159035306594,-0.005972363250557206,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.0736,0,0
98,0.0005464288776123913,1.4982739362543003,3.0700880284611793,0.05619967012477113,0.01193672697642277,0.0007545014862913424,0.9983479064707175,0.0005346798105752003,0.07556356693811975,-0.0004334552782003953,0.0031245407727424706,-0.0003442171065069273,-0.04582529501089762,-0.0011551745653868475,0.03419136657926426,0.001082512396055842,-0.00597382476520081,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.07919999999999996,0,0
105,0.0005365959885141676,1.498195286244928,3.070088684587062,0.05815427003337124,0.011690085613963444,0.0007723631403362589,0.998238862312224,0.0005305779242834075,0.07556297486505406,-0.0004462251093799534,0.0031214383568256452,-0.00035043736226861923,-0.04983409140000839,-0.0011543648481678501,0.031787092735922735,0.001082616620239406,-0.0077175535829006004,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.08479999999999993,0,0
112,0.000508364410720618,1.4981754383538701,3.0700707755968737,0.05868918961225836,0.010987270681356758,0.0007655442295755954,0.9982155442827284,0.0005254034273246369,0.0755200957764926,-0.0004586953773471095,0.003415671813269048,-0.000360686144897212,-0.05297011122840944,-0.0011552114508520382,0.02524507882170447,0.0010818455445037102,-0.0123682253410337,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.0903999999999999,0,0
119,0.0005019238224245901,1.4980987728220154,3.0700722829094595,0.060596688379089735,0.010826288910561454,0.0007846931270949129,0.9981033098244935,0.0005190521577354977,0.06804528794051248,-0.0004718829325514084,0.003817101795891239,-0.00036613368429709337,-0.05296965119939285,-0.001156115941347533,0.022869285511823437,0.001078920447829907,-0.014340654218996258,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.09599999999999986,0,0
126,0.0004974122982939752,1.4979986984555669,3.070084279609563,0.06306000648620744,0.010710903580398994,0.0008062757509555849,0.9979519337352197,0.0005155005494572733,0.05581464415673444,-0.0004840819142919266,0.003812552571366995,-0.00036202242691317043,-0.05297089515025305,-0.0011563445787189628,0.02189915583996976,0.0010782129195077387,-0.014997160381569504,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.10159999999999983,0,0
133,0.0004948861337781729,1.497891954244409,3.0700994344237302,0.06567813318301188,0.010644806695452643,0.0008303473892027106,0.997783734801898,0.0005122718833022634,0.039982181699699935,-0.0004960852918974788,0.003798009445463799,-0.00036067203270518045,-0.05297474062722525,-0.0011560791331114806,0.021380816447356805,0.0010788132967620323,-0.015335034921417485,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.1071999999999998,0,0
140,0.0005114592422590293,1.4979532199077237,3.070149706109543,0.0684541378064664,0.010591292308118911,0.0008633399957578942,0.9975976694983149,0.0005103161314882437,0.023520323167768024,-0.0005047807959410042,0.003652235283050828,-0.0003709598327784581,-0.05298703692634912,-0.0011516730126631756,0.021252998056759696,0.001083233649684376,-0.015305049022986026,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.11279999999999976,0,0
147,0.0005117404195823362,1.497964186279644,3.070172866303964,0.07123216717078745,0.010569826338598686,0.0008945809806387905,0.9974033571510544,0.0005107621108790363,0.014268920652423949,-0.0005046593174568775,0.003622373573880542,-0.00037864363845448976,-0.05299483788144989,-0.0011490511675569695,0.021210781704516863,0.0010833997918121307,-0.015284288034889194,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.11839999999999973,0,0
154,0.0005113027964363916,1.4978494364491874,3.0701947576104893,0.07401581843011652,0.01055504951703622,0.000920733100372,0.9972007830935407,0.0005101411201938141,0.009064479904411815,-0.0005066759383071616,0.0035913753687756103,-0.00037842571849670587,-0.053004574843729814,-0.0011486810990227834,0.021176127899411118,0.0010848914320158178,-0.015277009550698542,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.1239999999999997,0,0
161,0.000510975779331131,1.497734363805649,3.0702175576435127,0.07680008412126374,0.010545258039979667,0.0009514476574078718,0.9969902905039709,0.0005010636689384265,0.006171104938052882,-0.0005275959849825293,0.003575195947014509,-0.00038142411422621025,-0.05301025636261835,-0.0011498772121494513,0.021153083879459893,0.001081349882195604,-0.015273992326783434,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.12959999999999966,0,0
168,0.0005107281552018345,1.4976189610317887,3.0702412180546617,0.07958391447950583,0.010538165178414638,0.0009836502798911627,0.9967719799748176,0.0004897807481176295,0.004571985942599632,-0.00055780443180755,0.0035675740506915473,-0.0003866919341369408,-0.0530128675257276,-0.001154228376876989,0.021135223625678892,0.001075142398633939,-0.015274449636076545,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.13519999999999963,0,0
