index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos
112,-2.739246768296862e-16,-2.359546321337954e-16,2.743545338911585,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.4925957069001076e-34,1.0436944729389418e-18
120,-3.127965405787054e-16,-2.6945547854404343e-16,2.5909120361959124,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.3682127313250986e-34,1.1052749545186893e-18
128,-3.5400450404508615e-16,-3.049926534694005e-16,2.4285731261769046,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.4324103961380065e-34,1.066771489627856e-18
136,-3.97623372288888e-16,-3.426179928495917e-16,2.2566662416268706,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.5929045581702762e-34,1.1504900312962703e-18
144,-4.4361533437313124e-16,-3.8217851642275926e-16,2.0753342995153727,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.5929045581702762e-34,1.2292639051881778e-18
152,-4.919529807609005e-16,-4.237038561139481e-16,1.8847250991553468,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,1.721299887796092e-34,1.3445952585976016e-18
160,-5.425962841131226e-16,-4.670988290567044e-16,1.6849909168015167,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,2.042288211860631e-34,1.3630507146658044e-18
168,-5.952996771484845e-16,-5.121543948453767e-16,1.4762880988120888,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,2.0091862909414753e-34,1.3936752234900977e-18
176,-6.498418941621518e-16,-5.585901911132284e-16,1.2587766554016253,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,2.522767609444738e-34,1.5819862310826428e-18
184,-0.0011021974576814894,-0.0014910440519467166,1.0366166645343848,-0.08899490766057899,0.21978269005986537,0.37848291721282573,0.8947212733240467,-0.005094933996898281,-0.0016485555897889543
192,-0.011597329658332694,-0.012954489723547333,0.8441505095659182,-0.009297836933318876,0.13302180454459978,0.3889355325426752,0.911563437874625,-0.05601219704425256,-0.01699223632393071
200,-0.02868407280985088,-0.019852047075069323,0.6697630777370261,0.10656419495580091,0.043188944781632696,0.39697833290096973,0.9105970517244375,-0.1397646809852734,-0.050129482043794554
208,-0.0527884485848952,-0.004888427722409803,0.5160929540477033,0.24113341111070746,-0.01960849623709723,0.39721767179464146,0.8852617161808585,-0.26762934602507593,-0.08990915479352089
216,-0.08655119017422339,0.04346648382436819,0.3917202416916376,0.37384100734582926,-0.036757761013596124,0.38966223057116856,0.8408656933769058,-0.4312612467538066,-0.12921500791266285
224,-0.10149947932388634,0.05395260730342381,0.3639878572342065,0.41248510571877794,-0.04731130645020023,0.3844217288022154,0.8245226572186235,-0.4132222720541588,-0.16843060805245672
232,-0.10594884073091103,0.04347676512785561,0.3695267952710591,0.41290861289279535,-0.05868896675487012,0.38151390819138953,0.8249298275833681,-0.31949824625404877,-0.19541926519576475
240,-0.11134877007509486,0.0338476248660092,0.3713128087147657,0.41121781899691656,-0.06944287241613546,0.37856279679233806,0.8262976471555383,-0.22636371189686663,-0.2071347725292988
248,-0.11746418031007239,0.024906424365741593,0.369228804130648,0.40736016841490796,-0.07937155727754933,0.37585920120990673,0.8285455388511638,-0.1333374306172627,-0.20769351975465286
256,-0.12421697571055422,0.016758615311683867,0.36288910530774215,0.4011328985790099,-0.08841330637850002,0.3736586137104808,0.831657817454261,-0.03865847497667242,-0.2076936396691751
264,-0.13216904030412402,0.009864229750036488,0.3502820694593067,0.39416712988006597,-0.09636540076552322,0.37189391917095616,0.834889750889947,0.05415996097009337,-0.2076936771945046
272,-0.14224039216800718,0.005052143857174291,0.32736981667146836,0.38970047392615537,-0.10299610068187691,0.3700505070692303,0.8370113297225218,0.13821616245945914,-0.2076936771945046
280,-0.1531820922587032,-9.675522641743538e-05,0.3056525215568874,0.3788050321111731,-0.10946890433734732,0.3695636872071757,0.8413952624826637,0.23400517623194403,-0.20793932000630388
288,-0.1639437402246684,0.010228953016793642,0.2951699617234305,0.36545896038192754,-0.12931996088575434,0.3654784387936062,0.8462515032601454,0.349642254147056,-0.20801001562253463
296,-0.1709524167482831,0.02240435670929098,0.28496555949452856,0.35218158932386534,-0.15202707569923526,0.35896459404319503,0.8508820815007562,0.46741520239800666,-0.20689770797170076
304,-0.17167771175816654,0.03067131478993838,0.2767899485984143,0.34549985778960934,-0.1573479060721582,0.3570197343355783,0.8534684493389431,0.5512176129952268,-0.20555445395437286
312,-0.17047493592861476,0.03944667649436099,0.26808126193582793,0.3383512510550909,-0.1645107135518979,0.3536031799833844,0.8563991167333946,0.6376878807461853,-0.2055572744216952
320,-0.16771009594877742,0.04870304254744471,0.2589738148252772,0.33121878097961605,-0.1710546238141536,0.34985243629773766,0.8594403455823523,0.7233520633611846,-0.20555872038980358
328,-0.16408647860785286,0.058875821198149075,0.24881021522142097,0.32358839603960904,-0.17737202672227664,0.34592009604020374,0.8626523061120751,0.8097870166030582,-0.20555958689503517
336,-0.16021950430642312,0.07028472842665473,0.23701170408362,0.3151493128892775,-0.1834362490234646,0.3421038996073337,0.8660236572998875,0.8976897905677442,-0.20556016847489844
344,-0.15670149843951653,0.08316089677545091,0.22303862120787818,0.30563230231837696,-0.18927878329197123,0.3386689449105787,0.8695204331861527,0.987602116702188,-0.20556053397814164
352,-0.15433322769971158,0.09798700734599082,0.2059327166147483,0.29426809098608026,-0.19609124607717862,0.33553444340986627,0.8731386780603289,1.0817926716026132,-0.2055606140984912
360,-0.15651064506444565,0.11526648838343975,0.1841222015153371,0.2821513057743619,-0.1991690967900161,0.3360949898473222,0.8762205597526231,1.1735191741014954,-0.20556095187731221
368,-0.16509561481690527,0.13422897879183834,0.15764194549165966,0.26963988171091186,-0.19647390461656303,0.34166282761187516,0.8786118888473484,1.2604168016297754,-0.2055613176704426
376,-0.1771211348410327,0.1537635624496884,0.12817161429378118,0.25751020049574985,-0.1874223233216627,0.3509751328666503,0.8805554073825145,1.340756026884959,-0.20556237066356617
384,-0.19344751595563434,0.17342283057740984,0.09523702033961509,0.2449685900205901,-0.17476128314241546,0.3631006963921277,0.88182014498269,1.4190750676255117,-0.2055632830601312
392,-0.21113939432201828,0.19316378284122776,0.0534854122608998,0.2345732903786236,-0.16127772736654705,0.376267175610546,0.8816960239529779,1.4917632869778805,-0.2055632830601312
400,-0.21692657999955328,0.19471479446650308,0.009744461287180177,0.22734714703616202,-0.13952336097624682,0.3970849829772891,0.8781628680206968,1.5027614502161488,-0.1648733638772733
408,-0.21911672680074312,0.18508859630680874,-0.034192406177999186,0.21565241910302582,-0.11543126336128604,0.4205210702024389,0.8736885526831777,1.5003864970473269,-0.1155147618455494
416,-0.2221091999671884,0.16834640426332093,-0.07987137392467086,0.1992682582317247,-0.09137125380184923,0.44278591528146694,0.8694159467529489,1.5000679132557422,-0.0689824057215608
424,-0.2399583270231393,0.17230958510031905,-0.11608066423038699,0.18553471410865055,-0.0734886733059251,0.4564977604239482,0.8670559840542454,1.50012822403419,-0.029222157685653803
432,-0.25295529217614093,0.18212707053170518,-0.1497788761755881,0.1705328666805,-0.06688511712653457,0.4629973459745448,0.8672245269301534,1.5000678634653175,0.01445729956517495
440,-0.2620473573934057,0.19264153220350833,-0.18597146300382378,0.15336708519644265,-0.06545807496335776,0.46689899056281664,0.8684463772806363,1.500042984509774,0.05627075989133956
448,-0.2703378828111385,0.20231764289304305,-0.22692482728253371,0.13417008618104068,-0.06493537313237409,0.4704242062463162,0.8697602264232682,1.5000159805746396,0.09140414282462019
456,-0.26068726417975074,0.20675244881907673,-0.26068986983149445,0.12049809869709778,-0.05696380453595966,0.4783001342745387,0.8680232224636226,1.470418095382739,0.12707892540650978
464,-0.23772275279290203,0.20538072213878342,-0.2867158258983219,0.10797872577369447,-0.04484610859391721,0.4882117064536896,0.8648576478275765,1.429374108810984,0.15691195658686613
472,-0.210419169353579,0.2006627707202811,-0.3159921353455083,0.09588278478502621,-0.031724886031313015,0.49729339369352166,0.8616839929910203,1.3873526920060257,0.17545545329245787
480,-0.17661816363753413,0.19163589293760708,-0.34514103563865434,0.08777248523145623,-0.016990978229852124,0.5045857392844474,0.8587202857775366,1.3350767761575246,0.18528540114622713
488,-0.14768116829465172,0.2059865876505137,-0.35078579878021265,0.07938645460198065,-0.03857871943815867,0.4906340108455168,0.8668839256981761,1.3391886971392637,0.17955478939921563
