index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w,box_pos_x,box_pos_y,box_pos_z,box_eul_x,box_eul_y,box_eul_z
156,0.0005112034789984607,1.4978165946826287,3.070201175303715,0.07481129506491548,0.010551936077754176,0.0009291918429796189,0.9971414460237024,0.000508509583426469,0.008057753849073807,-0.0005105299077920399,0.0035858397429987966,-0.00037879549312094807,-0.053006703227202745,-0.0011486123151398554,0.021168797206023906,0.0010845312890861649,-0.01527589296312836,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.12559999999999968,0,0
168,0.0005107281552018345,1.4976189610317887,3.0702412180546617,0.07958391447950583,0.010538165178414638,0.0009836502798911627,0.9967719799748176,0.0004897807481176295,0.004571985942599632,-0.00055780443180755,0.0035675740506915473,-0.0003866919341369408,-0.0530128675257276,-0.001154228376876989,0.021135223625678892,0.001075142398633939,-0.015274449636076545,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.13519999999999963,0,0
180,0.0005080483225444582,1.4974090159791784,3.070282115035577,0.08435254341420843,0.010531993945592105,0.0010294981644109746,0.9963797798312718,0.00048728818019069375,0.003343843428440353,-0.0005719775957656808,0.003572956713452338,-0.00038201105799410266,-0.053018138606597105,-0.0011609710007014532,0.021107773675841258,0.0010724668800871245,-0.015288371696404663,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.14479999999999957,0,0
192,0.0005061136756720005,1.4971814609986145,3.0703223161850954,0.08909849043378905,0.010535241539408385,0.0010760734410687194,0.9959665203981888,0.0004966033934569839,0.003114517572255366,-0.0005761847622619464,0.0036250432888195886,-0.0003529767957972901,-0.05302725978011613,-0.001175954188833554,0.021046137750364492,0.0010847044184884279,-0.015367127409143153,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.1543999999999995,0,0
204,0.0005034279531557529,1.4969335390674525,3.0703617543258095,0.09385316893495114,0.010533188342115533,0.001123345861795513,0.9955296945437097,0.0004981301885106572,0.0030737274856065377,-0.0005675533767806057,0.0036518553704979763,-0.00034026345990908417,-0.05303391622062131,-0.001184024911474758,0.02100023899525645,0.0010893384364170995,-0.015413471427930509,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.16399999999999945,0,0
216,0.0005013933141133418,1.4966810745489887,3.0704025749134023,0.09861662122186637,0.010527722713640785,0.0011715041731736224,0.9950691215444382,0.0004996965324198329,0.003056414883792077,-0.0005568499229083383,0.00365950427836489,-0.00032985237223755214,-0.05303782433413875,-0.0011887491102458227,0.020975949362847586,0.001090110224756305,-0.015428838817996435,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.1735999999999994,0,0
228,0.0004994445018279748,1.4964263572738257,3.070444920892795,0.10338222908586865,0.010520700773167524,0.0012213248080475208,0.9945853095286455,0.0004937106666500226,0.003052854825647434,-0.0005490714821005876,0.0036598614245592015,-0.00031847652497725236,-0.053039078913938324,-0.0011936712006984024,0.020960564004477076,0.0010832070022009435,-0.015431859616752745,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.18319999999999934,0,0
240,0.0004979303415895977,1.4961699994039337,3.0704888309988267,0.10814861478538956,0.010513779038678563,0.0012721648632255406,0.9940783264747743,0.0004845579785875191,0.003052342401866858,-0.0005437595843679993,0.003658391693583705,-0.0003052916448476885,-0.05304112320460899,-0.0011993125490173473,0.020953601648892484,0.001072730269091077,-0.015427746227810592,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.19279999999999928,0,0
252,0.0004972857166211818,1.4959119796688216,3.0705342445915726,0.11291419299771352,0.010506939136492931,0.0013237047869606154,0.9935483063521844,0.00047575546463141024,0.003052098661007742,-0.0005391096113008105,0.003656351407841899,-0.000291200383300728,-0.05304387817106665,-0.001205673477291659,0.020951333718324472,0.0010616629641253502,-0.015420045579036942,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.20239999999999922,0,0
264,0.0004975391808933206,1.4956518942195152,3.0705810392742987,0.11767749999272435,0.010499614484421911,0.0013751132689035774,0.9929954043975423,0.000471427340991377,0.003053432960407657,-0.0005316097918620086,0.0036532520473572176,-0.000273860435082494,-0.05304546075509445,-0.0012110875900639287,0.020949408359057252,0.0010522766931532032,-0.015411272542823892,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.21199999999999916,0,0
