frameID,vertex005fixed-x,vertex005fixed-y,vertex005fixed-z,vertex140-x,vertex140-y,vertex140-z,vertex145-x,vertex145-y,vertex145-z,vertex150-x,vertex150-y,vertex150-z,vertex160-x,vertex160-y,vertex160-z,vertex170-x,vertex170-y,vertex170-z,vertex180-x,vertex180-y,vertex180-z,vertex190fixed-x,vertex190fixed-y,vertex190fixed-z
5,0.4935784637928009,-0.6079557538032532,0.09417138248682022,0.6733595132827759,-0.4825665354728699,-0.03474072739481926,0.667976438999176,-0.469638466835022,-0.08543623983860016,0.65943843126297,-0.45705538988113403,-0.1356731355190277,0.6930968761444092,-0.3998199999332428,-0.20878934860229492,0.6894588470458984,-0.33213546872138977,-0.28905221819877625,0.6819984316825867,-0.2685798704624176,-0.3701589107513428,0.4557637870311737,-0.34326788783073425,-0.43988803029060364
6,0.49013376235961914,-0.6088594198226929,0.08784060180187225,0.6658305525779724,-0.49021223187446594,-0.03639362007379532,0.6569898724555969,-0.4796859920024872,-0.0877189114689827,0.6450609564781189,-0.4649975299835205,-0.1370478719472885,0.6356106996536255,-0.41117557883262634,-0.2267097532749176,0.6783873438835144,-0.33975258469581604,-0.2916746735572815,0.6825377941131592,-0.2664952278137207,-0.36990830302238464,0.4543834924697876,-0.34555360674858093,-0.44168850779533386
7,0.49090033769607544,-0.607573926448822,0.0894855186343193,0.6541662812232971,-0.4920949935913086,-0.03711457550525665,0.6437500715255737,-0.47587403655052185,-0.08739825338125229,0.6350547671318054,-0.4564840793609619,-0.1373075246810913,0.6299250721931458,-0.4069437086582184,-0.23324643075466156,0.6514695882797241,-0.339298278093338,-0.3082464933395386,0.683275580406189,-0.2653124928474426,-0.36737897992134094,0.4510878324508667,-0.3477439880371094,-0.4446333050727844
8,0.4893980324268341,-0.611024022102356,0.09060698002576828,0.6480016112327576,-0.4766668677330017,-0.03269073739647865,0.6403406262397766,-0.46273523569107056,-0.08203250914812088,0.6363401412963867,-0.4463960826396942,-0.1308785378932953,0.6362120509147644,-0.39918264746665955,-0.2226143777370453,0.6586020588874817,-0.3373638093471527,-0.3009524941444397,0.6843164563179016,-0.26658326387405396,-0.36330944299697876,0.45506590604782104,-0.3439258337020874,-0.44193774461746216
9,0.489317923784256,-0.6105221509933472,0.08891335129737854,0.6491310000419617,-0.4637312591075897,-0.02401014417409897,0.641594409942627,-0.45204082131385803,-0.07391627132892609,0.6366568207740784,-0.4392316937446594,-0.1240895688533783,0.6444544196128845,-0.39424005150794983,-0.2172316461801529,0.6663921475410461,-0.33669158816337585,-0.29892081022262573,0.6868767142295837,-0.26444876194000244,-0.3630002439022064,0.45413538813591003,-0.3443671762943268,-0.4425638020038605
10,0.4877568781375885,-0.6121045351028442,0.09045426547527313,0.6516575813293457,-0.4517565369606018,-0.02114845998585224,0.6420954465866089,-0.44206175208091736,-0.07190312445163727,0.6398878693580627,-0.42997631430625916,-0.12265045940876007,0.6518312692642212,-0.3898219168186188,-0.21776685118675232,0.6757418513298035,-0.33631107211112976,-0.30208706855773926,0.688995361328125,-0.26047825813293457,-0.3652150332927704,0.4546661972999573,-0.3435310423374176,-0.44214335083961487
11,0.4876369535923004,-0.6128429770469666,0.09106151759624481,0.6574912071228027,-0.44683128595352173,-0.019243089482188225,0.6497045159339905,-0.4320092499256134,-0.06946595758199692,0.6459159255027771,-0.42038238048553467,-0.12101452052593231,0.6591667532920837,-0.38729384541511536,-0.21949222683906555,0.6831222176551819,-0.33064737915992737,-0.3024434447288513,0.6898903846740723,-0.25615930557250977,-0.3706081509590149,0.454691082239151,-0.3442288935184479,-0.4422077536582947
12,0.48883405327796936,-0.6115430593490601,0.08979359269142151,0.6665993332862854,-0.4461415410041809,-0.019077256321907043,0.6634160280227661,-0.4284631013870239,-0.06894367188215256,0.6597373485565186,-0.4124511182308197,-0.11925406754016876,0.6673887372016907,-0.3817363977432251,-0.22016289830207825,0.6878151893615723,-0.3238007724285126,-0.30346885323524475,0.6914282441139221,-0.2525063753128052,-0.37393271923065186,0.45502254366874695,-0.3432570695877075,-0.44112148880958557
13,0.48991259932518005,-0.6108149886131287,0.0906539037823677,0.6781967878341675,-0.44658544659614563,-0.01688883639872074,0.6778961420059204,-0.42926615476608276,-0.06661652773618698,0.6785675883293152,-0.40969759225845337,-0.11554671823978424,0.6777593493461609,-0.37125852704048157,-0.2136899083852768,0.6902809739112854,-0.31416764855384827,-0.3000665605068207,0.6927192807197571,-0.24943016469478607,-0.37645789980888367,0.4551548361778259,-0.3407394289970398,-0.4400370121002197
14,0.4900316894054413,-0.610967218875885,0.09122034162282944,0.6919549107551575,-0.4427393972873688,-0.012281361036002636,0.6940624713897705,-0.4276553690433502,-0.0626312792301178,0.6944664716720581,-0.40962323546409607,-0.11167684197425842,0.6916276812553406,-0.36150452494621277,-0.20434355735778809,0.6934705972671509,-0.3046106994152069,-0.2926652431488037,0.6949211955070496,-0.24701669812202454,-0.3755655884742737,0.45516279339790344,-0.3427361845970154,-0.44090765714645386
