index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obj_joint_10_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
33,3.0210130833663286e-32,1.4704593794912179e-34,2.3047382018659794,4.9300992147464714e-18,0.7071067811865475,4.930099214746476e-18,0.7071067811865476,5.9852534365172734e-18,-9.779108730030919e-18,5.7048682857342936e-18,1.0271626370065256e-34,4.975975784252244e-19,-1.3928715122000706e-17,-9.980694909293601e-18,-1.3142194449081899e-17,5.264254343073084e-18,1.0368650124599943e-20,3.8399650269406065e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,27.131378112366313,27.131378112366313,3.365229076130329e-33,0.08446913090504893
36,3.583265508272946e-32,1.976209353320525e-34,2.286953299553773,6.8259269903154705e-18,0.7071067811865475,6.8259269903154735e-18,0.7071067811865476,7.071734476619006e-18,-1.3768551141421356e-17,6.133727906371717e-18,3.0814879110195767e-34,-8.506878343996368e-20,-1.6716481454047097e-17,-1.2786027444769257e-17,-1.217612113343483e-17,5.490622247585862e-18,1.2442480423474928e-20,4.2955487733019524e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,26.922014242347018,26.922014242347018,4.5849614319592376e-33,0.46682926816853154
39,4.169115326196465e-32,2.72097745911636e-34,2.267658121378697,8.599664036084932e-18,0.7071067811865475,8.599664036084935e-18,0.7071067811865476,7.903368803756104e-18,-1.640261468722271e-17,5.735180991995853e-18,4.108650548026102e-34,-1.093001375405707e-18,-1.847935103812742e-17,-1.575601118230954e-17,-1.1622482785900556e-17,5.579465079482061e-18,1.4634125406296745e-20,4.8733574887395265e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,26.69487140487002,26.69487140487002,5.726483136315337e-33,0.6164326673178842
42,4.790089161215378e-32,3.962148433638033e-34,2.2468557212278504,1.0381201448364673e-17,0.7071067811865475,1.0381201448364675e-17,0.7071067811865476,9.276077330311106e-18,-1.9104466932552652e-17,4.571313449555806e-18,9.24446373305873e-34,-2.6410110735889593e-18,-1.976572191495126e-17,-1.734613895807559e-17,-1.219228834329125e-17,5.181815881773926e-18,1.5698575295607968e-20,4.788401752309805e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,26.44998555029427,26.44998555029427,6.844512808986105e-33,1.349986403056871
45,5.414200544539709e-32,5.537087720747304e-34,2.2245493283559834,1.234812659108813e-17,0.7071067811865475,1.2348126591088134e-17,0.7071067811865476,1.0051171752499597e-17,-2.142392002479901e-17,2.9402164888811323e-18,1.283953296258157e-33,-4.7241915944674525e-18,-2.1239510219996768e-17,-1.809183121970604e-17,-1.2592374853360262e-17,4.773317872245398e-18,1.64986299305511e-20,4.4030737735083025e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,26.18739469340665,26.18739469340665,7.850721060672079e-33,1.8693633435068087
48,6.085185593595809e-32,7.339420193482245e-34,2.2007423458539797,1.4091065705083714e-17,0.7071067811865475,1.4091065705083717e-17,0.7071067811865476,1.1334464307049723e-17,-2.3674376509901382e-17,1.4629289863734448e-18,1.3609904940336465e-33,-6.623312454244026e-18,-2.2639868964709954e-17,-1.9592943972095947e-17,-1.3315850269562344e-17,5.1777593094510744e-18,1.7799828844607814e-20,4.758846135750189e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,25.90713889539306,25.90713889539306,9.290848634123299e-33,0.0
51,6.804649089630292e-32,9.900035606426525e-34,2.175438349039564,1.608702867496464e-17,0.7071067811865475,1.6087028674964643e-17,0.7071067811865476,1.2363785164772847e-17,-2.692345334537446e-17,7.281113984166474e-19,1.2582742303329939e-33,-7.993623774213442e-18,-2.4538726333475676e-17,-2.175044725613842e-17,-1.37331381378728e-17,5.974640090424448e-18,1.9921413846931394e-20,5.069010373315296e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,25.609260244893747,25.609260244893747,1.1336927035780851e-32,1.3337028580674222
54,7.557571547528337e-32,1.275286513975103e-33,2.1486410837718237,1.8188554609393635e-17,0.7071067811865475,1.8188554609393638e-17,0.7071067811865476,1.3125298036526836e-17,-2.9856501681922517e-17,-6.741026795967404e-19,1.4123486258839729e-33,-9.711683832263004e-18,-2.5609986498938997e-17,-2.379907035602413e-17,-1.5069173665580674e-17,6.8510518342662534e-18,2.158055793047724e-20,5.8682917840286156e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,25.293802838161906,25.293802838161906,1.3445883685899057e-32,1.2785428586939247
57,8.331491308093511e-32,1.5794354026483822e-33,2.1203544646912262,2.0464063749236915e-17,0.7071067811865475,2.0464063749236918e-17,0.7071067811865476,1.4765277949857084e-17,-3.5348832131013915e-17,-9.431378044056336e-19,1.232595164407831e-33,-1.1014977219964165e-17,-2.8591729437404324e-17,-2.5062934481096266e-17,-1.4468229818662395e-17,6.145334087413515e-18,2.270478313227717e-20,5.442556043042407e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,24.960812758345128,24.960812758345128,1.6560635059917077e-32,2.51604679060868
60,-0.0019373307939290912,-0.0006075564380438,2.0886642934934576,-0.0002636720531642318,0.7045366088333668,-0.0008076631140462407,0.7096671367415305,0.004222917343270377,-1.6928820299317003e-05,0.0023270625752048217,0.0042580192673300045,0.000852361888384876,0.0049434030921292615,-0.0045919497412993246,-0.003685452444056742,0.0003545823889187595,-0.02635903321018113,0.004049469513395257,-0.5,0.5,0,0.0,0.0,0.0,1.0,24.652321143439366,24.648258472706203,0.004062670733164352,2.7314159425432436
63,-0.008489066096499798,-0.000597152176787893,2.040976813532354,0.01141623092237374,0.7025583340051322,0.008367986173398588,0.7114853714580939,0.006666074695972906,-6.469217403491844e-06,0.0035602729913717956,0.005579891946558279,-0.0007468910669312718,0.007882187888138964,-0.016866261415582576,-0.003992707524711239,-0.014312789684858048,-0.03211569651395786,0.0014577525220416834,-0.5,0.5,0,0.0,0.0,0.0,1.0,24.416650080806725,24.40820135328246,0.00844872752426503,2.9477755598818334
66,-0.014584638058046863,0.00037789518105295523,1.992871826343912,0.024665772255175838,0.6983165228509042,0.019183730485742737,0.7151067179639196,0.005679973621022083,8.50455105251646e-06,0.0029572778206253206,0.004277651567356597,-0.0023394559238700202,0.008401351158809857,-0.02332118837455318,-0.0043419943421698325,-0.021178416741612135,-0.036090183769011186,0.001661174445314683,-0.5,0.5,0,0.0,0.0,0.0,1.0,24.173978239840377,24.16171884651145,0.012259393328926619,2.569792020291615
69,-0.020305735758833363,0.002204530462943952,1.9448987017030912,0.03719445948772651,0.6940970020593171,0.02928153796552494,0.7183234058904511,0.005276672961716558,1.8253290520283624e-05,0.0026928791759950454,0.0036264147997700984,-0.003408363653151,0.009121535883873527,-0.02837258502936458,-0.004378099595305467,-0.027224898624523892,-0.03880015654413624,0.0017361747082542517,-0.5,0.5,0,0.0,0.0,0.0,1.0,23.92811552499878,23.912031033269507,0.016084491729272687,3.7146407049288612
72,-0.025695290353936136,0.005022472583551373,1.896494370309129,0.049472828066319016,0.6893718495487169,0.0390751450492769,0.7216592169246366,0.005026773227857868,2.5362296814219052e-05,0.0025240357711033687,0.0031929394523862262,-0.004190571278628583,0.00972528047158831,-0.03224903286950067,-0.004438600594355982,-0.03194130504942628,-0.04064476094936382,0.001647283149517514,-0.5,0.5,0,0.0,0.0,0.0,1.0,23.67492334876742,23.655480173377104,0.019443175390318083,3.6267192984581698
75,-0.030829585906849283,0.009111119710269417,1.8473203499754387,0.06167308262842145,0.6841644196021435,0.048660627440073344,0.7250845613903998,0.004953536351579667,3.0208105576343057e-05,0.002461054738715494,0.00298861755304442,-0.004751302146922719,0.010390826915546868,-0.03543788227548379,-0.0044447571747918005,-0.03604899248258999,-0.04209799020933645,0.001486493905470772,-0.5,0.5,0,0.0,0.0,0.0,1.0,23.41383776674735,23.391239512319242,0.022598254428108595,4.3448874972594
78,-0.03581749119555396,0.014594565622112064,1.797127139487101,0.07401892168124244,0.678728176059642,0.058197043274772785,0.7283284742545577,0.004920568320036813,3.404389387410868e-05,0.0024244247504484756,0.0028458225908191536,-0.0052014219527725366,0.010951286528433071,-0.03802915559572666,-0.00439066899196976,-0.03940776450115483,-0.043428749417773464,0.0014223481546185924,-0.5,0.5,0,0.0,0.0,0.0,1.0,23.14366716596681,23.118208560652356,0.025458605314453528,4.1150871820478265
81,-0.04076342155453536,0.021538898030272917,1.7458303155668566,0.08654686158975493,0.6731039840759018,0.06765966985706322,0.7313431728299276,0.004997341017918524,3.678590226364516e-05,0.002450830258252637,0.002827006340842323,-0.0055567711377720735,0.0114990405880551,-0.04026088897572319,-0.004240627988988668,-0.04225827942554322,-0.045263658360203185,0.0017087763747577383,-0.5,0.5,0,0.0,0.0,0.0,1.0,22.864479048627704,22.836086639048236,0.028392409579465677,3.587138171657621
84,-0.04574064607414587,0.029981775981898228,1.6933758709758697,0.09936533185086927,0.6678209746275181,0.07721849887339118,0.7336068293748761,0.0049644219882624225,3.966991705158851e-05,0.002418406215242641,0.0026995582180860023,-0.0058809012937994,0.01176444623379209,-0.041948525806912065,-0.004180525966885033,-0.04426401175535647,-0.04640822306202035,0.0018389045441933793,-0.5,0.5,0,0.0,0.0,0.0,1.0,22.57400619424801,22.543484526013522,0.03052166823449008,4.73438326913897
87,-0.05092594675892432,0.03975294476905381,1.640133895280132,0.11208906890193374,0.6639404277843377,0.08663691731048061,0.7342432795369566,0.004911152514411524,4.134748581442822e-05,0.002381489290644138,0.002599728664467063,-0.006059165089457347,0.011857036343106359,-0.042800267937739715,-0.004173918537712565,-0.0452228791016653,-0.04693662649043052,0.0018805183960196076,-0.5,0.5,0,0.0,0.0,0.0,1.0,22.269649831846937,22.238075678932372,0.03157415291456651,5.87059429228125
90,-0.05622550055288531,0.050974395162334304,1.5858792362669896,0.12473781899229551,0.6607304719982732,0.09589589729361284,0.7339480204811765,0.005155780339525506,4.129316963419181e-05,0.0025114373457470235,0.002807388680071852,-0.006108732280513218,0.012196864648117797,-0.04361534549638651,-0.004180636555192889,-0.046228719358688136,-0.04794966328416044,0.0019981325659288963,-0.5,0.5,0,0.0,0.0,0.0,1.0,21.95425877075603,21.921324340939865,0.03293442981616455,5.817087185706704
