index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obj_joint_10_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,escape_energy_cost
200,-0.30130259334796605,0.13756123892534813,1.0297727204470553,-0.0851623594157298,0.7010743422945735,-0.20349936235087385,0.6781077706661124,0.4367333765194835,0.02498669281780303,0.2710726377596488,0.2543364095205532,0.09126193664927408,0.07660537315450196,0.12824808170323249,0.003994042669121568,0.09087897166110369,0.007242677851459873,-0.004767247108048549,-0.5,0.5,0,0.0,0.0,0.0,1.0,3.183616203208446,5.913732917325278
400,0.12442719554343638,-0.32378854933379103,1.4007833733077766,-0.44384102137149833,0.5503742124919166,-0.22934911356383106,0.6689486961488845,0.4040974080750689,0.026268584713370038,0.25251191724125216,0.21406259226698585,0.103557227657276,0.02214341424424588,0.14917157222935076,-0.009989735126657366,0.12173450643510177,0.08515577590042675,-0.008902124930975298,-0.5,0.5,0,0.0,0.0,0.0,1.0,4.524428086827723,4.7565493435364
600,0.19302473979540746,-0.31644225680938626,1.3886748123070116,-0.491682261318665,0.5083944392846306,-0.23875482607682993,0.6654169978547683,0.42111257496784665,0.06006466500829847,0.3169212663727354,0.2709509481335703,0.11942334286797059,-0.014949355891315547,0.06506750136980906,-0.013751627116910442,0.061247984273097224,0.09245241054019875,-0.007194739289371649,-0.5,0.5,0,0.0,0.0,0.0,1.0,4.3784776034464015,6.303672789238731
800,0.18263536093581265,-0.33777794479266904,1.4044659344664945,-0.5000555770369843,0.4999538373512866,-0.2503453336713843,0.6613000788604937,0.40769063366479336,0.0742523447715988,0.339194220736002,0.2824666778399131,0.1261774605419087,-0.035409187520242726,0.02992772162081454,-0.012282042112438997,0.047902071928675675,0.13843427455278742,-0.007136950404787352,-0.5,0.5,0,0.0,0.0,0.0,1.0,4.50510458660282,12.320102405107527
