index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,obs_joint_0_pos,obs_joint_1_pos,obs_joint_2_pos,obs_joint_3_pos,obs_joint_4_pos,obs_joint_5_pos,obs_joint_6_pos,obs_joint_7_pos,obs_joint_8_pos,obs_joint_9_pos,obs_joint_10_pos,obs_joint_11_pos,start_energy,escape_energy_cost
168,-0.10491680694469213,0.012961262339873408,2.113876383676,0.25677587365230226,0.5375058724796203,0.8001044814580512,0.07061449221485584,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,5.136878775610129e-06,-0.29866832773519136,3.6086310567219e-08,6.899571480516539e-05,5.2102934648062186e-06,-0.2986581982835707,1.0708548868583307e-08,-2.531895297365437e-09,0.00011459876608064979,-0.2958135715081766,-1.0429920431318202e-06,-3.274036622231849e-08,2.113876383676,0.0
176,-0.12238135398752624,0.005537315008917973,2.1116746036156826,0.24717650957013623,0.5304773869885633,0.8069986459847566,0.07906137103086257,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,5.126468990214331e-06,-0.2914634998504043,-5.0429284832494294e-08,7.172973462126211e-05,5.198067932957557e-06,-0.291453155190048,8.476629083275569e-09,-1.0247913851511439e-07,0.00011943358832618881,-0.2884957929883359,-1.1200219257979672e-06,-3.589392664781006e-08,2.1116746036156826,0.0005294465527887482
184,-0.14035739110526096,-0.0015159339088447422,2.109879469623231,0.237042312990041,0.523473306841699,0.8136651076330184,0.08795300732264073,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,5.102223463966689e-06,-0.2842597724923046,-3.8107839290304645e-08,7.380042548911483e-05,5.183016603091092e-06,-0.2842492027365945,-1.2906091437943947e-07,-6.192949619607973e-08,0.00012329717960131906,-0.2812030348528353,-9.763467460713554e-07,-3.0244052045490566e-08,2.109879469623231,0.0
192,-0.159000462729127,-0.008209326001799373,2.107263730349899,0.22639762950152323,0.516382066579525,0.8201448263355283,0.09724267841959186,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,5.076366507493295e-06,-0.27705598767677253,-9.874960097742667e-09,7.587841877756836e-05,5.165362147617113e-06,-0.2770452281796561,-3.669668954655003e-08,-2.3917210122792263e-07,0.0001272338906434971,-0.27390829393645205,-9.652236593841015e-07,-2.8824710814536778e-08,2.107263730349899,0.12498437703798349
200,-0.17844276236393591,-0.014595911175842977,2.1037695879750884,0.2151443792908266,0.5091178150733177,0.8264761010888119,0.1070009381434206,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,5.04874909828354e-06,-0.26985214698055726,-3.6722955738079575e-10,7.798279898350818e-05,5.144747076078001e-06,-0.2698411884803273,-1.0386753333947242e-08,-5.547279394587866e-09,0.00013123956195805578,-0.2666118761857629,-9.800954365759097e-07,-2.8178828547774455e-08,2.1037695879750884,0.0633502497334022
208,-0.18802826561002034,-0.01638166787972667,2.1064064150873243,0.20743912190498331,0.5062201958681571,0.8291646102715151,0.11487459715611822,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,6.060927903580099e-06,-0.262653637636486,-1.3078321908012128e-06,7.175951365655548e-05,4.2628914504679175e-06,-0.2626392901953691,-2.607210736426958e-07,-3.033051683306239e-07,4.042580109205603e-05,-0.25940643550925474,-9.168851024671708e-07,-5.922673101686537e-07,2.1064064150873243,0.06360710986625451
216,-0.18761970519916069,-0.013856866200549729,2.1087224644792415,0.20359748747661474,0.5076800263015117,0.8284305646460625,0.12046515491175137,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,6.170019148701221e-06,-0.2554542422861278,-2.1378407183564729e-07,6.97687370480383e-05,4.0864113960171615e-06,-0.25543907143106853,-1.2752265973134776e-07,-5.3541386550967304e-08,1.9326023593145457e-05,-0.2522082373071714,-4.140935513413177e-07,-9.966690495779567e-08,2.1087224644792415,0.1543260682044676
224,-0.18308479640315622,-0.011917582273792748,2.107109788301864,0.203644044228395,0.5103477677228406,0.8267348585485944,0.12076312720053506,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,8.649505379000233e-06,-0.2482553898690781,-1.1019770852868799e-07,6.694161470965055e-05,-4.426158549865186e-07,-0.2482394667110576,-5.118851800201354e-07,9.220167622476167e-08,-2.450165554124264e-05,-0.24501145481764214,-4.295236757416121e-07,-1.6986610335814993e-08,2.107109788301864,0.06761400188120037
232,-0.17655784518610274,-0.009460574471001142,2.1020673905263103,0.206465055662999,0.5131714551496698,0.8246703687098061,0.11809327407468018,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,9.255417452355588e-06,-0.24105071306406609,-2.209617061128144e-08,6.87816848639784e-05,-1.9565434260235484e-06,-0.24103431524844285,-1.660247655357942e-07,-5.809001743341505e-07,-3.4714760182919474e-05,-0.23768434079663553,-1.6958161122543768e-06,-4.8349034461928123e-08,2.1020673905263103,0.0991959786332468
240,-0.17179627623507118,-0.006478561461291699,2.1019458149828956,0.20887001592195392,0.5161480702692092,0.8225390659366318,0.11573232484585859,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,9.256900472960976e-06,-0.23384658200610964,-1.0932773007097362e-08,7.09994160772063e-05,-1.0629683344490909e-06,-0.2338310652039032,1.6300440402776813e-06,-3.661570305020641e-07,-2.9313736664027863e-05,-0.23036459719012503,-1.313111863676869e-06,-3.26485536058598e-08,2.1019458149828956,0.1431356465411735
