index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obs_pos_x,obs_pos_y,obs_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
0,0.0,1.5,3.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.8312000000000002,1.8312000000000002,0,0.0
50,7.454443112476585e-35,1.5,3.284039121832183,-7.121664375634011e-18,-2.867428891509199e-18,2.523857439129386e-35,1.0,-4.230697708652887e-35,2.2142530730465794e-19,-8.463484388032379e-35,-4.4938365369035504e-35,-6.096495978509359e-37,-5.4013641830915495e-18,-7.884210578895265e-35,1.155023954685244e-18,-7.080893216561607e-35,7.167430550619096e-19,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.7182092685425985,1.7182092685425985,0,0.0
100,0.0005460558684862826,1.4982453871682502,3.0700900261990562,0.05690546903317516,0.011926660439178394,0.0007622388053040064,0.9983080393129601,0.0005344239348541929,0.0755634824657051,-0.00043635481612024936,0.0031240469577523437,-0.00034563883311020804,-0.04701251306190415,-0.001153370575107316,0.033955029246079974,0.0010836729157945523,-0.006187609050422561,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.6073063317746121,1.6073063317746121,0,0.0
150,0.000511532900324746,1.4979150451833572,3.0701821363418405,0.07242499620154581,0.010562581532375508,0.0009049335356863851,0.9973175185926867,0.0005118676303637463,0.011662716025452742,-0.0005025674136139112,0.003606393214260434,-0.00037844470268893197,-0.052999365400023014,-0.0011488590271256783,0.021193836791143256,0.0010846615280006432,-0.015280441910762759,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.607683797557972,1.607683797557972,0,0.0
200,0.0005042732170657357,1.4970168078472823,3.070348457643523,0.09226687457250025,0.010534448095023932,0.00110748879470378,0.9956779713986472,0.0004976353042046793,0.003083761870700753,-0.0005707430093742173,0.0036460062851089697,-0.0003441287134973488,-0.05303205604674745,-0.001181842530856207,0.021012427829323194,0.001088382861613001,-0.015402760988121104,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.6081724144140752,1.6081724144140752,0,0.0
250,0.0004973330173188372,1.495955093620844,3.0705265722060773,0.11212004148222256,0.010508085455222306,0.001315064366154599,0.9936382375109178,0.0004772101668901994,0.0030521240208382433,-0.0005398429072777675,0.0036567125639466735,-0.0002936044244444753,-0.053043396822591536,-0.001204545267894952,0.02095152657159013,0.0010635499978507734,-0.015421467512846568,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.6086653029898577,1.6086653029898577,0,0.007248550237495932
300,0.0005060024677033924,1.4948607759068782,3.0707240916519387,0.13195444389280186,0.010475651885556953,0.0015335125212061283,0.9911992402104943,0.00047105258665877984,0.0030660158877049144,-0.000500744155749809,0.0036470947647566907,-0.00022801311108928675,-0.05304350192567943,-0.001224824847504194,0.020959209861596405,0.0010307308532565256,-0.015369225050609841,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.6091654454251547,1.6091654454251547,0,0.0
350,0.0005364201235029571,1.4937349233103054,3.0709337613539973,0.15174295191604684,0.010437007354306737,0.001765815169794973,0.9883633073511362,0.0004887913184045414,0.0031016226125409937,-0.00044653523030382616,0.0036437671437859736,-0.00018212536376950608,-0.05302989844020286,-0.001234430414621227,0.020996729904913802,0.001014661968468171,-0.015288357204890584,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.6096680359307296,1.6096680359307296,0,0.0
400,0.0005742466540833441,1.4925792485957003,3.0711646981691736,0.17147120862220455,0.010392231236331107,0.002002326512328721,0.9851322839254173,0.0005115893933490128,0.003140499157813792,-0.0003967272295368531,0.0036398376435790776,-0.00012910580529960092,-0.053013482622243216,-0.0012378717947384907,0.02103535596817936,0.0010071926771278424,-0.015206197907885096,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.6101770758955942,1.6101770758955942,0,0.0
450,0.0005675263993173218,1.4911773993180089,3.0713360895514925,0.19113177976620915,0.010338617815074832,0.0022602826323076227,0.9815073340874725,0.0005175750470485045,0.003176247583200236,-0.0004032176371969109,0.00363753274046183,-0.0001255637672353556,-0.053001425923716775,-0.001239889611175273,0.02107104675593904,0.0009945345268797113,-0.015134538470019268,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.6106497409859906,1.6106497409859906,0,0.0
500,0.0004421596269953948,1.4879188685258378,3.070748090606234,0.21072691688486483,0.010292368411733652,0.0024667641460116045,0.977487671905546,0.0005622005588785444,0.0031683873445666508,-0.0003988281486814664,0.003635519622054056,-0.0001351522924212425,-0.0530094827773203,-0.0012236935258096672,0.021078340774003765,0.001036385455751391,-0.015139315902447185,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.610719124780378,1.610719124780378,0,0.0
550,0.00017874031611159723,1.4738705880801877,3.0649839078004146,0.23031113570089984,0.010328370591414676,0.0025112492891298456,0.9730589905859233,0.00046530817004370096,0.002933970088916304,-0.0004888037516167229,0.0037299111001321875,-0.00026890823206733165,-0.05306757270992661,-0.0012314342095863452,0.02099114369547408,0.001068430076312211,-0.015623002168752221,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.6080738421245062,1.6080738421245062,0,0.0
600,-0.0004377803838131818,1.4600952715073976,3.058059560456971,0.24989904322917603,0.010761012914932205,0.001389853742405665,0.9682111015169996,0.0002477488341758148,0.0028059409518503362,-0.0006192470160542423,0.004228371056467745,-0.009071823439378957,-0.05299462533529433,-0.0011951010365210707,0.02817307980242187,0.0009811693091794234,-0.015955069114725332,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.6048087218465394,1.6048087218465394,0,0.0
650,-0.0030238051562263093,1.4420069829411204,3.047375085387781,0.2697437170897304,0.012618533864215005,-0.003351215013795519,0.962843636865127,0.00011060150989648287,0.0013549925347100269,-0.0007042181617098819,0.005618785942486667,-0.01597052259086615,-0.05294831982304169,-0.001172204725110467,0.022924471245000907,0.0009258835321425999,-0.016143674036555703,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.599548743976511,1.599548743976511,0,0.0
700,-0.013354074319689432,1.4017032672078382,3.0209203847038855,0.2896752863417276,0.01859305081796417,-0.02347970238885227,0.9566562760573151,0.0001129935060153678,6.395791958576229e-05,-0.0005004974039593573,0.006748577923190175,-0.018830574369546993,-0.05281364669226062,-0.0011775949422276211,0.02313059988545443,0.0009687352421961819,-0.01614499491665375,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.5859339134170867,1.5859339134170867,0,0.0
750,-0.03768058533197964,1.3258101553936503,2.9655972755810813,0.3099598175274003,0.029485616287408596,-0.05701973800078166,0.9485801281013927,0.00013286432333246864,-0.003136479194819411,-0.00043416063853795537,0.008546877917857692,-0.04539772153354334,-0.051747745373186285,-0.0011918075902984896,0.023252628841052798,0.0009665685560864075,-0.01619833631550244,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.5570880317662334,1.5570880317662334,0,0.0
800,-0.06496961237804233,1.1946150219065184,2.859890137213265,0.32959384954413873,0.044564260930186755,-0.10085946363127372,0.9376616071837609,0.00012329133052726805,-0.0046288039475327995,-0.00043861776163635325,0.008933773932215791,-0.05539155445528568,-0.055261959668557285,-0.0012177724390710627,0.016976691378828707,0.0009500511813778398,-0.020072435608803254,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.5017237562333223,1.5017237562333223,0,0.0
850,-0.08032135883390766,0.9776032796270606,2.66762269349439,0.3489428532611261,0.061706134629907386,-0.14378221809587266,0.9239902119971027,0.00013176360343685774,-0.004639120474472748,-0.00042957961709001166,0.00891117192208506,-0.05534566173693784,-0.061648560978985655,-0.0012302476496239374,0.007084075309877455,0.0009423819540133871,-0.028304710237796665,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.4009764565156015,1.4009764565156015,0,0.0
900,-0.09124132829377292,0.6714267104874958,2.365056999541128,0.3669832909880919,0.08002969422020237,-0.18503812790108073,0.9081186064614213,0.00012003828231310438,-0.0120374660013731,-0.0004920512415416586,0.00791689997233914,-0.055231021522210905,-0.061670633961495726,-0.0012261848784827316,0.005271522383619673,0.0009378098834515421,-0.029051126846389757,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.2424247955038195,1.2424247955038195,0,0.0
950,-0.08699884172929247,0.6279496245252671,2.28631697196675,0.37494799618666036,0.10192041780383837,-0.19223696267806956,0.9011499202522351,-0.1731690248036603,0.009862836541220285,-0.5001714781826606,-0.0062382098756917715,0.2722812678563525,-0.08925490827986376,0.04847033150973675,0.06930805833227321,0.05019155095008929,-0.0043853740001067575,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,1.2009804084888716,1.2009804084888716,0,0.11069376279161092
1000,-0.10532155929594725,0.6716737331971092,2.2457435961799894,0.40764854127362027,0.11629470619729124,-0.20892792288833675,0.8812759676432464,-0.22644305667613007,0.009975580800474023,-0.5003024167080256,-0.011993697639011576,0.5000090198019342,-0.08969331733540468,0.054097558722817636,0.16668756417022865,0.03484335438530926,0.010343958766282186,0,-0.0001,1.0,-0.1488448429635703,0.0,0.0,0.988860562831358,1.1892616700590584,1.1892616700590584,0,0.1269659826518701
1050,-0.08742302859333699,0.7049117227648042,2.190662109928865,0.41465874557147414,0.11834676762075984,-0.20884299942783835,0.8777452756379799,-0.22627706056657737,0.013546438656870182,-0.49999966042963,-0.018854414066130185,0.5000021542974616,-0.08918265222069728,0.05994797476361401,0.2042559266695244,-0.0033661551594760847,0.04200917676228802,0,-0.0051,1.0,-0.11911650059495188,0.0,0.0,0.9928802844683808,1.1605011708724693,1.1605011708724693,0,0.1786039986992285
1100,-0.05222186297109531,0.7266680966340577,2.131000934354764,0.41322283822240846,0.12165056994509427,-0.21500782183656422,0.8764814095875321,-0.22740546885933988,0.013551098908674718,-0.4999999432243228,-0.05658603857596015,0.5000067972753134,-0.09389384709649036,0.057963908931847656,0.2613987668721733,-0.033930247786510485,0.09578647932805613,0,-0.010099999999999994,1.0,-0.08928096141592001,0.0,0.0,0.9960064808667909,1.12916843412344,1.12916843412344,0,0.15297439344584518
1150,-0.03529894562889954,0.7257339355302058,2.0693551302781565,0.3869113383417501,0.1207746539672584,-0.2309962854684574,0.8845076683225871,-0.2269278583282242,0.01814274521030049,-0.50000068483237,-0.06547536354535995,0.5000007657917649,-0.09355447428542285,0.05794787802343349,0.2649292776301275,-0.04766536069227773,0.09584069687850261,0,-0.015099999999999964,1.0,-0.059365075397897926,0.0,0.0,0.9982363386608414,1.0964649456917601,1.0964649456917601,0,0.20401279867376587
1200,-0.015364516648597008,0.7197328173391939,1.962314641361989,0.38491317840375183,0.12933533677748754,-0.24244549583604333,0.8810984038690517,-0.23099330811693025,0.03720105329540451,-0.4999993559305063,-0.03505080105084585,0.5000050599350717,-0.10134099013041126,0.0791325746791253,0.40191183459857727,-0.06164781274223507,0.22923782175935217,0,-0.020099999999999934,1.0,-0.02939576481904011,0.0,0.0,0.9995678511290286,1.0402120528729804,1.0402120528729804,0,0.18465962523282964
1250,-0.03775662183260957,0.7214068379617659,1.8975837287489798,0.36415798651948367,0.13222207468901898,-0.23927784284247616,0.8903102817241068,-0.27966195274949796,0.08327833040167577,-0.4990824836471865,0.05178928779130283,0.45275052525203563,-0.09214178154112278,0.08457393315343917,0.408319842530008,-0.06469968699680897,0.28174677655504804,0,-0.025099999999999904,1.0,0.0005999999640000806,0.0,0.0,0.9999998200000054,1.006059769119794,1.006059769119794,0,0.2128520459535146
1300,-0.07121664069978506,0.7232725115296932,1.8431671987762999,0.348712400412271,0.15621939731387197,-0.22529647127008068,0.8962347135292474,-0.28643733282889844,0.17914213986384755,-0.5000067609253325,0.19454341927218402,0.3765122923936585,0.02391987939946545,0.09611195562128542,0.4174957029396357,-0.06241099190479863,0.28764963692993106,0,-0.030099999999999873,1.0,0.030595224787571453,0.0,0.0,0.9995318565309452,0.9771344451380395,0.9771344451380395,0,0.23301323141071473
1350,-0.1090651798861516,0.657455680191811,1.8678534458724732,0.3659880966726811,0.16773119857116547,-0.20627892314922278,0.8918340450914539,-0.2874106898488067,0.19706734844787335,-0.5000011033218676,0.20370434957376002,0.3750229211428981,0.06103568810373576,0.09871761226068226,0.431065347537439,-0.061590024921354236,0.2879576602502456,0,-0.03509999999999998,1.0,0.060562915973949895,0.0,0.0,0.9981643818573834,0.9902773894688981,0.9902773894688981,0,0.16613052068343293
1400,-0.13406079604176033,0.5928849080276483,1.9015834157056428,0.3879100761042691,0.1759931552982292,-0.19163468312190282,0.8842105690217242,-0.2874353177440307,0.19920169807767804,-0.4999977846550408,0.20588520653525427,0.37506199861859474,0.07657552769141038,0.09867891549053451,0.4312238414539072,-0.06163243108239055,0.28862171564271144,0,-0.04010000000000012,1.0,0.09047610462382598,0.0,0.0,0.9958986266142245,1.008230372564606,1.008230372564606,0,0.1124447384723608
