index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obs_pos_x,obs_pos_y,obs_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obs_joint_0_pos,obs_joint_1_pos,obs_joint_2_pos,obs_joint_3_pos,obs_joint_4_pos,obs_joint_5_pos,obs_joint_6_pos,obs_joint_7_pos,obs_joint_8_pos,obs_joint_9_pos,obs_joint_10_pos,obs_joint_11_pos,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
0,-0.5,0.3,0.85,0.33914000194777966,0.33887004315045344,0.6202974532430737,0.6207916095069478,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.85,,,inf
2,-0.5,0.3,0.85,0.33914000194777966,0.33887004315045344,0.6202974532430737,0.6207916095069478,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.015,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.015,0.0,0.0,0.85,,,2.7791544481197605
3,-0.5,0.3,0.85,0.33914000194777966,0.33887004315045344,0.6202974532430737,0.6207916095069478,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.85,,,3.398670639834734
4,-0.5,0.3,0.85,0.33914000194777966,0.33887004315045344,0.6202974532430737,0.6207916095069478,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.025,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.025,0.0,0.0,0.85,,,3.778625352841774
5,-0.5,0.3,0.85,0.33914000194777966,0.33887004315045344,0.6202974532430737,0.6207916095069478,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.030000000000000002,0.0,0.0,0.0,0.030000000000000002,0.0,0.0,0.0,0.030000000000000002,0.0,0.0,0.85,,,1.0228400506228277
6,-0.5,0.3,0.85,0.33914000194777966,0.33887004315045344,0.6202974532430737,0.6207916095069478,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.035,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.035,0.0,0.0,0.85,,,0.35721837801368617
7,-0.5,0.3,0.85,0.33914000194777966,0.33887004315045344,0.6202974532430737,0.6207916095069478,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.85,,,2.5152474822288693
8,-0.5,0.3,0.85,0.33914000194777966,0.33887004315045344,0.6202974532430737,0.6207916095069478,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.045,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.045,0.0,0.0,0.85,,,inf
9,-0.5,0.3,0.85,0.33914000194777966,0.33887004315045344,0.6202974532430737,0.6207916095069478,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.049999999999999996,0.0,0.0,0.0,0.049999999999999996,0.0,0.0,0.0,0.049999999999999996,0.0,0.0,0.85,,,inf
10,-0.5,0.3,0.85,0.33914000194777966,0.33887004315045344,0.6202974532430737,0.6207916095069478,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.05499999999999999,0.0,0.0,0.0,0.05499999999999999,0.0,0.0,0.0,0.05499999999999999,0.0,0.0,0.85,,,0.9080913105835564
