index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,obs_joint_0_pos,obs_joint_1_pos,obs_joint_2_pos,obs_joint_3_pos,obs_joint_4_pos,obs_joint_5_pos,obs_joint_6_pos,obs_joint_7_pos,obs_joint_8_pos,obs_joint_9_pos,obs_joint_10_pos,obs_joint_11_pos,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
0,0.1,0.1,2.3,0.3609862442519984,0.6082958186217675,0.7064116492447646,-0.025450153622365728,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0008,-0.4492,0.0008,0.0008,0.0008,-0.4492,0.0008,0.0008,0.0008,-0.4492,0.0008,0.0008,2.3,,,0.0
8,0.1,0.1,2.2938715232751448,0.3609862442519984,0.6082958186217675,0.7064116492447646,-0.025450153622365728,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0072000000000000015,-0.4427999999999998,0.0072000000000000015,0.0072000000000000015,0.0072000000000000015,-0.4427999999999998,0.0072000000000000015,0.0072000000000000015,0.0072000000000000015,-0.4427999999999998,0.0072000000000000015,0.0072000000000000015,2.2938715232751448,,,0.0
16,0.1,0.1,2.276863088234715,0.3609862442519984,0.6082958186217675,0.7064116492447646,-0.025450153622365728,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.013600000000000004,-0.4363999999999996,0.013600000000000004,0.013600000000000004,0.013600000000000004,-0.4363999999999996,0.013600000000000004,0.013600000000000004,0.013600000000000004,-0.4363999999999996,0.013600000000000004,0.013600000000000004,2.276863088234715,,,0.0
24,0.1,0.1,2.249003375198647,0.3609862442519984,0.6082958186217675,0.7064116492447646,-0.025450153622365728,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.019999999999999997,-0.42999999999999944,0.019999999999999997,0.019999999999999997,0.019999999999999997,-0.42999999999999944,0.019999999999999997,0.019999999999999997,0.019999999999999997,-0.42999999999999944,0.019999999999999997,0.019999999999999997,2.249003375198647,,,0.0
32,0.1,0.1,2.2103303833870687,0.3609862442519984,0.6082958186217675,0.7064116492447646,-0.025450153622365728,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.026399999999999986,-0.42359999999999925,0.026399999999999986,0.026399999999999986,0.026399999999999986,-0.42359999999999925,0.026399999999999986,0.026399999999999986,0.026399999999999986,-0.42359999999999925,0.026399999999999986,0.026399999999999986,2.2103303833870687,,,0.0
40,0.1,0.1,2.160891301228147,0.3609862442519984,0.6082958186217675,0.7064116492447646,-0.025450153622365728,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.03279999999999998,-0.41719999999999907,0.03279999999999998,0.03279999999999998,0.03279999999999998,-0.41719999999999907,0.03279999999999998,0.03279999999999998,0.03279999999999998,-0.41719999999999907,0.03279999999999998,0.03279999999999998,2.160891301228147,,,0.0
48,0.1,0.1,2.1007423458539796,0.3609862442519984,0.6082958186217675,0.7064116492447646,-0.025450153622365728,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0392,-0.4107999999999989,0.0392,0.0392,0.0392,-0.4107999999999989,0.0392,0.0392,0.0392,-0.4107999999999989,0.0392,0.0392,2.1007423458539796,,,0.0
56,0.1,0.1,2.0299485729396967,0.3609862442519984,0.6082958186217675,0.7064116492447646,-0.025450153622365728,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.045600000000000016,-0.4043999999999987,0.045600000000000016,0.045600000000000016,0.045600000000000016,-0.4043999999999987,0.045600000000000016,0.045600000000000016,0.045600000000000016,-0.4043999999999987,0.045600000000000016,0.045600000000000016,2.0299485729396967,,,0.0
64,0.09321568721084364,0.09714569724792128,2.016085889207494,0.35648491149731426,0.6052174046085779,0.7114642239190955,-0.02119101500183799,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.052000518453181405,-0.39794012351884467,0.051978512323062914,0.052046521562260396,0.05200034047191707,-0.3979368402223779,0.05198514172264753,0.05198873210583012,0.05203902316126679,-0.3967159134627913,0.0519470619407926,0.05194829680372701,2.016085889207494,,,0.0
72,0.08346643555610549,0.09283417935238895,2.0143259294618345,0.3507931184299632,0.6013394690423534,0.7176946225497329,-0.015794296351494593,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.058400534573035845,-0.3915332018952195,0.058376023026022475,0.058451902836077416,0.05840032634810517,-0.3915295371616294,0.05838342779533543,0.05838740488837944,0.05844355176466282,-0.3901657237729681,0.05834095882226543,0.05834201721229462,2.0143259294618345,,,0.0
80,0.07252824995777529,0.08800480265550752,2.011510526980427,0.3443512719157024,0.5968529359904745,0.7246338456443958,-0.009724406213363122,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.06480051348747354,-0.3851262205935208,0.06477350771516852,0.06485733461339693,0.06480026625795,-0.3851221694896672,0.06478170214671757,0.06478604627198002,0.06484813811493093,-0.3836128049995257,0.0647348258073809,0.06473543555656812,2.011510526980427,,,0.0
88,0.06028884951004372,0.08261603589294884,2.0077185669406714,0.33706578494473644,0.5916592437710694,0.7323370318144562,-0.0029099335090842253,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.07120045501668469,-0.37871921822639903,0.07117097932780722,0.07126278749247086,0.07120015984815209,-0.3787147776447281,0.07117997364594522,0.0711846637447482,0.07125276094818331,-0.3770579241754626,0.0711286930367593,0.07112858212998967,2.0077185669406714,,,0.0
96,0.04690075697503379,0.07664721595290341,2.0040839060358886,0.3288067087008915,0.585926275981042,0.7406439850480112,0.004799462519533512,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.07760031820720222,-0.3723121011708263,0.0775684323897652,0.0776685245643242,0.07760000897614064,-0.3723073210817338,0.07757823300356669,0.07758322050143829,0.07765778208280093,-0.37049499769616834,0.07752234249426926,0.07752117645324849,2.0040839060358886,,,0.0021109020191065753
104,0.03305096305349997,0.07070140920734812,2.001950017149322,0.3199613320940652,0.5802324382247251,0.7488550453369845,0.013083755948674305,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.08400016238816398,-0.36590672457015083,0.08396652535751865,0.08407299900355016,0.08399987030438533,-0.36590172466473697,0.08397692913414034,0.08398209981406765,0.08406181089235874,-0.363967694440877,0.08391745888318781,0.08391523993590792,2.001950017149322,,,0.0
112,0.01869960884328361,0.06485613901735479,2.0004516980105533,0.3107080661253975,0.5744619820305942,0.7569556584091858,0.021726942914570266,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0903999901484515,-0.35950128219211525,0.0903645879639346,0.09047760096462863,0.0903997147812457,-0.359496102227552,0.09037562283614134,0.0903809458903114,0.09046599758475403,-0.35743587906249824,0.09031246265830618,0.0903089358840676,2.0004516980105533,,,0.0
120,0.004284228114715738,0.058873308899249056,2.0001201870046876,0.3013996298749712,0.5685717637955451,0.7648286904003806,0.030356002142767995,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.09679986073857465,-0.3530974676303356,0.09676322403712119,0.0968809023214327,0.09679959722718848,-0.35309220955252313,0.09677472170148757,0.09678012267693822,0.09686903697825608,-0.35094085062179053,0.0967089009412361,0.09670428113495799,2.0001201870046876,,,0.0
