index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obj_joint_10_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,escape_energy_cost
70,1.224496411077106e-31,3.254634679358115e-33,2.5806717116091287,3.023944086275388e-17,0.7071067811865475,3.023944086275388e-17,0.7071067811865476,2.0784097247320417e-17,-5.4339305726793996e-17,-5.3426755371960456e-18,2.0029671421627257e-33,-1.7519336719852552e-17,-3.5270739712205306e-17,-3.400542082252509e-17,-2.296328158866801e-17,9.72101706665114e-18,3.151972173657594e-20,8.020539235466186e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,15.18983369453133,0.0
77,1.470112967133661e-31,4.552216738427136e-33,2.4940341374287054,3.4857630332796974e-17,0.7071067811865475,3.4857630332796974e-17,0.7071067811865476,2.2752064106059467e-17,-5.825915631191787e-17,-8.751898381471255e-18,2.4138321969653363e-33,-2.2581418988811445e-17,-4.0328281373606863e-17,-3.749972466274292e-17,-2.7911422855022126e-17,1.0617065465798903e-17,3.531692555832391e-20,8.035502195054591e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,14.679884932905367,0.0
84,1.739542109532914e-31,6.32095185859128e-33,2.3994809565548336,3.9399199250291906e-17,0.7071067811865475,3.9399199250291906e-17,0.7071067811865476,2.4939281554209477e-17,-6.2834720992363e-17,-1.0267818419829431e-17,2.6449437902918048e-33,-2.6243101495331044e-17,-4.653500705551689e-17,-4.2459714307108874e-17,-3.5548603384319575e-17,1.3587737814264611e-17,4.0265115833533066e-20,9.348962787072773e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,14.123344910281746,0.0
91,2.023325442761765e-31,8.305061522366347e-33,2.2970806568956394,4.4464817658229875e-17,0.7071067811865475,4.4464817658229875e-17,0.7071067811865476,2.7366644978662892e-17,-6.837500646392325e-17,-1.2610327978250837e-17,3.286920438420883e-33,-3.0475608724714056e-17,-5.2145773470535495e-17,-4.9047073071623416e-17,-3.948224761858316e-17,1.3361128482468042e-17,4.608002315842814e-20,8.978456461421658e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,13.520616746487738,0.0
98,2.32998013159359e-31,1.0470632340684811e-32,2.186906024564377,4.995693650063916e-17,0.7071067811865475,4.995693650063916e-17,0.7071067811865476,3.0892115635929553e-17,-7.904893513252769e-17,-1.3560378120884023e-17,3.466673899897025e-33,-3.336287465138119e-17,-5.780152624904107e-17,-5.3768762668250673e-17,-4.87240505159294e-17,1.3968741312790506e-17,5.087054470637271e-20,9.05694129341268e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,12.872128860585923,0.0
105,2.658671030922387e-31,1.2979761395863355e-32,2.0690339686774113,5.509194945819976e-17,0.7071067811865475,5.509194945819976e-17,0.7071067811865476,3.3439017102816687e-17,-8.64955637511064e-17,-1.5504641310499402e-17,4.134329613951267e-33,-3.6994359752587134e-17,-6.281516716171284e-17,-5.790377172517342e-17,-6.098287315328823e-17,1.5132820123116082e-17,5.596903821076932e-20,8.512633649106053e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,12.178333939635241,0.0
112,3.0092653634346037e-31,1.5666997011511505e-32,1.9435453389115858,5.975562443242395e-17,0.7071067811865475,5.975562443242395e-17,0.7071067811865476,3.5967610409478006e-17,-9.348342672877278e-17,-1.603135213023975e-17,4.801985328005508e-33,-4.013611652573798e-17,-7.022640773536142e-17,-6.627581981046646e-17,-6.674741538858816e-17,1.4568250919620504e-17,6.344300870079143e-20,7.744279201787791e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,11.439707864833592,0.0
119,3.3733899526504433e-31,1.8742648191742925e-32,1.810524736699431,6.441884368138305e-17,0.7071067811865475,6.441884368138305e-17,0.7071067811865476,3.8822277981673956e-17,-1.0092336561443305e-16,-1.676405522386826e-17,5.1358131850326285e-33,-4.290098496776724e-17,-7.607493355835988e-17,-7.544031191604801e-17,-7.59393910408787e-17,1.7146118975218064e-17,7.112202341054644e-20,8.48423280148751e-18,-0.5,0.5,0,0.0,0.0,0.0,1.0,10.65674860021285,0.0
126,-0.023848415017582898,0.010246539809117218,1.6217586646516768,0.07153739068776867,0.6942669692787254,0.05984015087138243,0.7136490267952511,-0.008285100158745623,0.00023080308316807013,-0.0056850690263090505,-0.020908121655305173,-0.01837367189385511,-0.0298000365551286,-0.055082423581628764,-0.07900912066970699,-0.0025823966858073205,-0.05287099405189202,-0.0026960410389778016,-0.5,0.5,0,0.0,0.0,0.0,1.0,11.318845623107372,0.0
133,-0.05576485239077324,0.02626504147242937,1.502789732801011,0.11751512270074496,0.6806914928205228,0.09050111401219799,0.7173972650498107,-0.015624613967615553,0.0003134874973846426,-0.010061715880530455,-0.029427424435987188,-0.026851758397237885,-0.03144150484437799,-0.07921063794364638,-0.09000788963200552,-0.023068780482919427,-0.07082925864771883,-0.00023346195530167774,-0.5,0.5,0,0.0,0.0,0.0,1.0,10.972983910081842,0.0
140,-0.08504442891667523,0.046622845438421864,1.3981142730255496,0.15445323237229303,0.6647957996154736,0.11237615599392413,0.7221927328541895,-0.017825769829523056,0.0003520329876820346,-0.011489488144969816,-0.03263509100521825,-0.03142080886133548,-0.030583361188837723,-0.0962729343518257,-0.09548187390170099,-0.03903812516635703,-0.08509450789309682,0.0019967944033141474,-0.5,0.5,0,0.0,0.0,0.0,1.0,10.70453056093221,0.0
147,-0.11255307883341117,0.07224139999782828,1.2980540303996237,0.18935858409413553,0.6468297361228872,0.13210285788116077,0.726844862427114,-0.01953218339505487,0.00038532076558055477,-0.0126035463939812,-0.034985629075670176,-0.03548881902449621,-0.028230965684463035,-0.11251810823132313,-0.09708079293816717,-0.05523587373884222,-0.09254676480566931,0.0027435709683512784,-0.5,0.5,0,0.0,0.0,0.0,1.0,10.371442202486447,0.0
154,-0.14028689307170714,0.1034450186619841,1.2006946149232864,0.2229577658760711,0.629105933806201,0.14928008133560064,0.7295416478870933,-0.020584098087231453,0.0004075992622811603,-0.013320175794953492,-0.03650402977374386,-0.03845591551382093,-0.02647280730980215,-0.1241418919965695,-0.09892070714041003,-0.06845945871069095,-0.09774840950194531,0.0032156867262625286,-0.5,0.5,0,0.0,0.0,0.0,1.0,9.911958110189513,0.0
161,-0.1683728451160027,0.14098362553627514,1.1040797640068614,0.25634762874514494,0.6113010759643626,0.1648342914753815,0.7303605576120352,-0.021239049051171365,0.00041894703347057264,-0.01380148405316673,-0.03767823294098724,-0.04050200990168357,-0.025922088953694796,-0.1322357637310567,-0.10197083427723605,-0.07638271577976036,-0.10750285378993556,0.005019245846216572,-0.5,0.5,0,0.0,0.0,0.0,1.0,9.369010482064708,0.0
168,-0.19680197062518962,0.1852428386876234,1.0075023890716923,0.29000857958878323,0.5934776046289215,0.17933337518121514,0.7290534254188286,-0.02165593333739303,0.0004259891907536206,-0.014134440758556339,-0.03864663346430601,-0.04199796301595101,-0.026076853661162212,-0.13838735960096415,-0.10575900675774053,-0.08251473416631128,-0.11754118699823878,0.006924059290224021,-0.5,0.5,0,0.0,0.0,0.0,1.0,8.756426405662717,0.0
175,-0.22656539391228028,0.23580070033567854,0.9109672901054731,0.32378932444012154,0.5777844821471014,0.19298249287383365,0.7239359937265285,-0.022170619979608366,0.0004341539500213749,-0.014491963254280215,-0.039560567842265644,-0.04328794059851827,-0.02602008400454672,-0.14363676437122205,-0.10773122843640821,-0.08773577469845839,-0.1242516526807236,0.008040251659514932,-0.5,0.5,0,0.0,0.0,0.0,1.0,8.046078490765568,0.0
182,-0.2699719684060415,0.23634682535194457,0.8834423172675808,0.28117739412314113,0.6081971887740489,0.11901120981093223,0.7327153502833157,0.10703083046631479,-0.0014080149150803075,0.03837543449028336,-0.008298269930461483,-0.0333995124051577,-0.016256868934301148,-0.13925330368216074,-0.10739765460806401,-0.08784019703292069,-0.12800119860290166,0.008521267347076708,-0.5,0.5,0,0.0,0.0,0.0,1.0,7.542136783162892,0.0
189,-0.301559690963982,0.23218941206942711,0.8755266660339128,0.25178236216157,0.6220222120635754,0.06710888762549361,0.7383701016465559,0.18971631326266067,-0.002844892256436961,0.07172738558896329,0.012050160231693028,-0.026260839656070026,-0.009268822255825654,-0.13459156590068372,-0.10672350046392497,-0.08699628815400258,-0.13025125612109342,0.009051600851221017,-0.5,0.5,0,0.0,0.0,0.0,1.0,7.531646111957237,0.0
196,-0.32843974209990034,0.22817569174491553,0.8692656658613457,0.2336815333559914,0.6309540752493376,0.03256824016949611,0.739073207217599,0.24257624495896435,-0.003797815877306276,0.09303647177633549,0.02501256137793215,-0.02168246981657561,-0.004710173859681398,-0.13174980150775611,-0.10611132245644407,-0.08680145628284541,-0.13200578732029392,0.009459148342090856,-0.5,0.5,0,0.0,0.0,0.0,1.0,7.563953589434646,0.0
203,-0.3524702606788053,0.22312871015240937,0.8635303412039639,0.22002693440921114,0.6382388483963298,0.00596280733600769,0.7377016778216552,0.2831991051348198,-0.004519138197030383,0.10943400478297968,0.03480071770334522,-0.018638648231108192,-0.0006373559872293487,-0.13206266599038813,-0.10538335536594218,-0.08993336019166438,-0.13446705302285109,0.009812845363055158,-0.5,0.5,0,0.0,0.0,0.0,1.0,7.5961063255619115,0.0
210,-0.3746281284851222,0.21660346832159608,0.8580668654102014,0.20858113383633997,0.6447457434487679,-0.016064638871451497,0.7352134141119654,0.31715167020202506,-0.005108211599668884,0.12317115678597294,0.0428387227428501,-0.016545167157434967,0.003319801688315786,-0.13461958729314452,-0.10454520897986182,-0.09546466221531758,-0.13762776791902262,0.010101656124608054,-0.5,0.5,0,0.0,0.0,0.0,1.0,7.6241691963171165,0.0
217,-0.3955343111493612,0.2084817385528094,0.852748914908218,0.1982544524302274,0.6508594420395348,-0.03523552137850403,0.7320079349520476,0.3471115176680427,-0.005619177337853033,0.13533583207223837,0.04985092408322722,-0.015013218006309633,0.007214407607690343,-0.13844054996493807,-0.10365764519893124,-0.10234577332528924,-0.14126274743869816,0.010300958530933246,-0.5,0.5,0,0.0,0.0,0.0,1.0,7.651917497266183,0.0
224,-0.4160200421593789,0.19857263380232154,0.8466998960114333,0.18885691341906397,0.658770504664115,-0.05007586450488632,0.7265307262824469,0.3716290097703441,-0.006056323289222025,0.14532294352232764,0.0554490500374469,-0.013770339606790258,0.009791931006607128,-0.1408403430002395,-0.1032894124863417,-0.10643500719595421,-0.1437375856200989,0.010378537644641713,-0.5,0.5,0,0.0,0.0,0.0,1.0,7.431702851799019,0.0
231,-0.4350815888084083,0.18760986154041073,0.8407620016352872,0.17775075124464063,0.6655739575603795,-0.06711328971793173,0.7217421865130353,0.4000100282831602,-0.00652870779260678,0.1570288812122164,0.06233959828211661,-0.012461438877301133,0.013866961758064044,-0.14520820331654435,-0.10313523524034686,-0.11314488834122532,-0.14934423722258627,0.010606981273088685,-0.5,0.5,0,0.0,0.0,0.0,1.0,7.393432176670592,0.0
238,-0.4525869093640362,0.17502727620211017,0.8362372669241643,0.16728265214954816,0.6693313117800764,-0.08518304450563421,0.7188573977426446,0.42789825955339955,-0.00700540194148569,0.1685482640583341,0.06891281103340355,-0.011068520086238747,0.017290467369195477,-0.14832036691264372,-0.10294992832267531,-0.11825807013124959,-0.15372160860710368,0.010757781678833761,-0.5,0.5,0,0.0,0.0,0.0,1.0,7.8666824492205425,0.0
245,-0.4692596130258039,0.16099991185015702,0.8318165743742394,0.15661064690386392,0.6727098680147996,-0.10295107502201409,0.7157762324244051,0.45471212546148226,-0.00746230450031504,0.17973986135193756,0.07544811519917649,-0.009359557491006138,0.02036957777506809,-0.1499074228196629,-0.10274737225505917,-0.12150047243458248,-0.1577462375587852,0.011016270489377169,-0.5,0.5,0,0.0,0.0,0.0,1.0,8.749043260949293,0.0
