index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w,box_pos_x,box_pos_y,box_pos_z
640,-0.004637760967023842,-0.3928197019698608,1.3348061170881846,-0.016023471330700572,-0.008245030083053046,-0.005886503201471338,0.9998202923153254,0.5,-0.28590000000000704,2.9358999999998647,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
680,-0.005980664621790794,-0.3944194607669761,1.334911428358316,-0.01260893898478004,-0.011077637461597897,-0.005971377773175813,0.9998413090353077,0.5,-0.2819000000000075,2.9318999999998563,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
720,-0.00696769206291135,-0.395590540788501,1.3350093853466087,-0.010109802632682536,-0.013159129901896082,-0.006033375912186571,0.999844101630877,0.5,-0.2779000000000079,2.927899999999848,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
760,-0.006468097241831371,-0.3950041630455517,1.3349448539708237,-0.011367248410816651,-0.01210232786695509,-0.006007012983653487,0.9998441054078289,0.5,-0.27390000000000836,2.9238999999998394,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
800,-0.005587103460832675,-0.39395220132602987,1.3348821828481132,-0.01362052384253002,-0.010238225630611303,-0.005960281627878089,0.9998370542789,0.5,-0.2699000000000088,2.919899999999831,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
840,-0.00435685323897247,-0.3924875024773653,1.3347809395927612,-0.01676171360539237,-0.00763215186855867,-0.005904075973275593,0.9998129510572304,0.5,-0.26590000000000924,2.9158999999998225,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
880,-0.002722803691742009,-0.39054238286377657,1.3346223464976477,-0.02093497919335303,-0.00416885084413091,-0.005828977928536803,0.9997551551980725,0.5,-0.2619000000000097,2.911899999999814,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
920,-0.000706870637549579,-0.38806862551023463,1.3345561522583573,-0.026250721437110627,0.00010121185195605538,-0.005725731467953592,0.9996389875246708,0.5,-0.2579000000000101,2.9078999999998056,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
960,-0.0007898944247391258,-0.3874501960780466,1.3348010758788416,-0.027579842619883128,-0.00014850282473060887,-0.005596782983127808,0.9996039246862796,0.5,-0.25390000000001056,2.903899999999797,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1000,-0.0017190692013813772,-0.38940346522513897,1.3345159737631576,-0.023419653346678695,-0.0021029182050205796,-0.005608804671307706,0.9997077767439361,0.5,-0.249900000000011,2.8998999999997888,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
